"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1qb",0,1.98496205154634,0.988,0.521,0,"0","C1qb"
"C1qc",1.58101006669199e-322,1.77013627893121,0.978,0.443,2.6470851546624e-318,"0","C1qc"
"H2-Eb1",1.7515401202596e-311,2.06065831258389,0.978,0.675,2.93260362335064e-307,"0","H2-Eb1"
"C1qa",1.99073461381148e-309,1.78480287267289,0.981,0.528,3.33308696390456e-305,"0","C1qa"
"Cd72",5.37402123702817e-288,1.79416370184001,0.901,0.306,8.99772375715627e-284,"0","Cd72"
"Cd74",6.12538353641342e-285,1.80496035846009,0.996,0.919,1.0255729655017e-280,"0","Cd74"
"H2-Ab1",2.16588461459821e-277,1.77575599023175,0.991,0.741,3.62634061022179e-273,"0","H2-Ab1"
"H2-Aa",1.88645407122002e-274,1.76865535586186,0.985,0.724,3.15849005144368e-270,"0","H2-Aa"
"Ms4a7",2.47664501580517e-266,1.70393069656505,0.954,0.394,4.1466467499626e-262,"0","Ms4a7"
"Tmem176b",8.3203339556902e-261,1.45780670113566,0.866,0.392,1.39307351420121e-256,"0","Tmem176b"
"Rgs10",1.10365908652329e-255,1.15315560600352,0.941,0.57,1.84785640856595e-251,"0","Rgs10"
"Slamf9",2.61367443103664e-249,1.33699883646768,0.885,0.37,4.37607509988464e-245,"0","Slamf9"
"Cd81",1.05691886805394e-244,1.5461780475832,0.642,0.248,1.76959926078271e-240,"0","Cd81"
"Tmem176a",4.08453403093749e-219,1.4322608564007,0.802,0.341,6.83873532799863e-215,"0","Tmem176a"
"Hexb",1.88066218182615e-216,1.22039520672567,0.989,0.701,3.14879269103152e-212,"0","Hexb"
"Cxcl16",6.1227918532757e-197,1.11120718276321,0.971,0.46,1.02513903999395e-192,"0","Cxcl16"
"H2-DMb1",2.00871847775319e-176,1.06101392641436,0.93,0.578,3.36319734730217e-172,"0","H2-DMb1"
"Aif1",1.02362777317403e-163,1.07121366959246,0.984,0.66,1.71385998062528e-159,"0","Aif1"
"Ctsh",4.98636273021144e-156,0.775968225940598,0.989,0.851,8.34866711919301e-152,"0","Ctsh"
"Rplp1",3.7809564597332e-154,0.479469296370335,0.998,0.977,6.3304554005313e-150,"0","Rplp1"
"H2-DMa",1.0104011462135e-150,0.837121348386457,0.954,0.711,1.69171463910527e-146,"0","H2-DMa"
"Rps20",2.79482922011366e-148,0.576140811370084,0.998,0.948,4.6793825632363e-144,"0","Rps20"
"Adgre1",8.02668397995172e-145,0.965555826532428,0.951,0.65,1.34390769876332e-140,"0","Adgre1"
"Itm2b",1.26391287966361e-142,0.769675558399428,1,0.976,2.11616933442079e-138,"0","Itm2b"
"Pltp",8.10865877238596e-142,1.09056965241463,0.858,0.416,1.35763273826058e-137,"0","Pltp"
"Ckb",5.32777905445875e-140,1.0356989441174,0.856,0.423,8.92030047088028e-136,"0","Ckb"
"Itgb5",4.12136831573288e-136,0.856799890470944,0.863,0.455,6.90040697103156e-132,"0","Itgb5"
"Basp1",3.22421719566341e-134,0.976463520233946,0.924,0.444,5.39830685069925e-130,"0","Basp1"
"Ly86",2.32591662550851e-133,0.793850640989246,0.978,0.701,3.89428220608891e-129,"0","Ly86"
"Rpl12",6.25239749019697e-133,0.553256276447437,0.993,0.9,1.04683891178368e-128,"0","Rpl12"
"Rgs1",3.71393356046862e-132,1.50398551174461,0.842,0.435,6.21823896029261e-128,"0","Rgs1"
"Apoe",9.99485955498013e-127,1.38141976843888,0.984,0.918,1.67343933529032e-122,"0","Apoe"
"Cx3cr1",4.06840700988109e-123,0.870852123523917,0.772,0.4,6.8117338566439e-119,"0","Cx3cr1"
"Ntpcr",5.95819965918158e-123,0.740195012519041,0.637,0.256,9.97581368936772e-119,"0","Ntpcr"
"Selenop",1.05364880918675e-118,0.792257001526947,0.934,0.694,1.76412420122137e-114,"0","Selenop"
"Cst3",3.41222819135539e-116,0.443424761500098,0.998,0.972,5.71309366078633e-112,"0","Cst3"
"Snx5",3.88294595254023e-116,0.735475912424461,0.94,0.632,6.50121640833811e-112,"0","Snx5"
"Rps29",1.71022553496413e-114,0.435230236326051,0.999,0.981,2.86343061319044e-110,"0","Rps29"
"Rps4x",4.29748068233694e-114,0.389225622399845,0.995,0.932,7.19527190643674e-110,"0","Rps4x"
"Rps12",2.70650569661435e-111,0.458410514693536,0.999,0.968,4.5315024878414e-107,"0","Rps12"
"Rpl39",1.2924298384212e-103,0.330961180258297,0.999,0.94,2.16391527846861e-99,"0","Rpl39"
"Rpl23",2.96909045751371e-103,0.351777646450619,1,0.979,4.9711481530152e-99,"0","Rpl23"
"Ptms",2.88176054222575e-102,0.516383078760907,0.945,0.656,4.82493167584858e-98,"0","Ptms"
"Pea15a",2.95633259074652e-102,0.663293287999658,0.697,0.319,4.94978765668689e-98,"0","Pea15a"
"Rpl3",4.41133084216255e-102,0.461137677671056,0.994,0.903,7.38589122903277e-98,"0","Rpl3"
"Zmynd15",1.46907798355823e-100,0.76013155087885,0.485,0.126,2.45967726787155e-96,"0","Zmynd15"
"C3ar1",1.16588088202635e-99,0.792901768825108,0.91,0.354,1.95203436077673e-95,"0","C3ar1"
"F11r",1.35758803033358e-99,0.630637148377124,0.726,0.35,2.27300963918752e-95,"0","F11r"
"Rps24",1.42665399621733e-99,0.366212784060412,0.998,0.978,2.38864678586668e-95,"0","Rps24"
"Rpl32",1.05775332134151e-96,0.37155679917404,0.997,0.943,1.77099638592208e-92,"0","Rpl32"
"Itga9",8.53455410743952e-95,0.53991613257269,0.424,0.08,1.4289403942086e-90,"0","Itga9"
"Cadm1",1.82355813752395e-94,0.581619011888976,0.31,0.052,3.05318338965635e-90,"0","Cadm1"
"Rpl36a",3.38843037023249e-94,0.417358423312325,0.978,0.864,5.67324896888025e-90,"0","Rpl36a"
"Rps5",4.0159219431622e-94,0.35942624089886,0.997,0.935,6.72385810943647e-90,"0","Rps5"
"Lacc1",1.5621094288351e-93,0.720446194205725,0.727,0.297,2.61543981669861e-89,"0","Lacc1"
"Tgfbr1",9.41492925195402e-92,0.601718383805092,0.734,0.444,1.57634160465466e-87,"0","Tgfbr1"
"Tmem119",2.98491252201887e-91,0.632800910329916,0.402,0.08,4.9976390356162e-87,"0","Tmem119"
"Cd300c2",5.30769620873251e-90,0.525986761359334,0.964,0.785,8.88667576228084e-86,"0","Cd300c2"
"Rpl10a",1.42521839545735e-89,0.427433759132064,0.989,0.894,2.38624315951425e-85,"0","Rpl10a"
"Clec4a2",1.53706250079145e-89,0.774450882281609,0.847,0.542,2.57350374507512e-85,"0","Clec4a2"
"Eef1a1",6.97910608080527e-89,0.306064314848748,0.999,0.975,1.16851173110923e-84,"0","Eef1a1"
"Rps21",8.00525260761976e-88,0.350910455688508,0.999,0.963,1.34031944409378e-83,"0","Rps21"
"Acp5",2.73738549401131e-87,0.916383092560123,0.585,0.294,4.58320453262313e-83,"0","Acp5"
"Rpl18a",5.00688182520706e-87,0.326926208867721,1,0.961,8.38302223994418e-83,"0","Rpl18a"
"Fos",5.34047076890443e-87,1.10350493539929,0.99,0.907,8.94155020837668e-83,"0","Fos"
"Ctss",1.49405034375075e-86,0.576345870781036,1,0.96,2.50148849054189e-82,"0","Ctss"
"Fosb",2.95923534022295e-86,0.593452415061186,0.979,0.787,4.95464773013528e-82,"0","Fosb"
"Jun",7.21611471618916e-85,1.30282407742762,0.745,0.531,1.20819408693155e-80,"0","Jun"
"Blnk",3.24727717081708e-84,0.589404478876672,0.483,0.127,5.43691616709903e-80,"0","Blnk"
"Ctsc",1.98127874923334e-83,0.550672836848118,0.997,0.861,3.31725500984138e-79,"0","Ctsc"
"Rpl35",9.86112642954445e-81,0.431222646976621,0.984,0.879,1.65104839809863e-76,"0","Rpl35"
"Cd83",3.11868691439651e-80,0.713505488928654,0.856,0.63,5.22161750077407e-76,"0","Cd83"
"Rps8",3.24677517571798e-80,0.324550936311932,1,0.975,5.43607567670461e-76,"0","Rps8"
