NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	Details ...	25	-0.7743961	-2.3807275	0.0	4.962733E-4	0.001	2267	tags=40%, list=14%, signal=46%	
GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	Details ...	24	-0.7108517	-2.1608367	0.0	0.001019881	0.003	2379	tags=42%, list=14%, signal=48%	
GOBP_LEUKOCYTE_TETHERING_OR_ROLLING	GOBP_LEUKOCYTE_TETHERING_OR_ROLLING	Details ...	31	-0.6805138	-2.1312504	0.0	0.0010353705	0.006	2048	tags=35%, list=12%, signal=40%	
GOBP_INTERLEUKIN_13_PRODUCTION	GOBP_INTERLEUKIN_13_PRODUCTION	Details ...	20	-0.6965365	-2.0682385	0.0	0.0042731347	0.041	1151	tags=35%, list=7%, signal=38%	
GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	Details ...	15	-0.74045056	-2.041823	0.0	0.0055754236	0.066	1154	tags=20%, list=7%, signal=21%	
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	GOBP_AMMONIUM_ION_METABOLIC_PROCESS	Details ...	16	-0.7642638	-2.0330424	0.0	0.0051995036	0.074	1943	tags=31%, list=12%, signal=35%	
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	19	-0.73588854	-2.025453	0.0	0.00497066	0.082	1943	tags=32%, list=12%, signal=36%	
GOBP_INTERLEUKIN_5_PRODUCTION	GOBP_INTERLEUKIN_5_PRODUCTION	Details ...	18	-0.7265753	-2.012679	0.0	0.0053787692	0.102	1151	tags=33%, list=7%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	Details ...	22	-0.67231965	-2.0064554	0.0	0.005622241	0.116	1151	tags=36%, list=7%, signal=39%	
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	18	-0.7257594	-2.0029197	0.0	0.0054807877	0.126	1510	tags=50%, list=9%, signal=55%	
GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS	GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS	Details ...	52	-0.5799369	-1.9951346	0.0	0.006081197	0.152	2075	tags=35%, list=12%, signal=39%	
GOBP_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	GOBP_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	Details ...	28	-0.62481344	-1.9466423	0.0	0.012527575	0.284	1151	tags=32%, list=7%, signal=34%	
GOBP_SKELETAL_MUSCLE_CONTRACTION	GOBP_SKELETAL_MUSCLE_CONTRACTION	Details ...	30	-0.5705629	-1.9440726	0.0026954177	0.012154877	0.294	936	tags=17%, list=6%, signal=18%	
