NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	42	0.9069509	2.4127417	0.0	0.0	0.0	1380	tags=90%, list=8%, signal=98%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	43	0.8149458	2.341228	0.0	0.0	0.0	1030	tags=49%, list=6%, signal=52%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	41	0.7447588	2.2879841	0.0	0.0	0.0	1313	tags=41%, list=8%, signal=45%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	115	0.6794392	2.281896	0.0	0.0	0.0	1988	tags=50%, list=12%, signal=57%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	32	0.70082724	2.2159421	0.0	0.0	0.0	814	tags=28%, list=5%, signal=30%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	Details ...	22	0.7262939	2.1411223	0.0	2.9501683E-4	0.002	2210	tags=55%, list=13%, signal=63%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	47	0.610783	2.1324074	0.0	2.5287157E-4	0.002	1322	tags=19%, list=8%, signal=21%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	Details ...	41	0.63693404	2.0937982	0.0	2.2126261E-4	0.002	1817	tags=34%, list=11%, signal=38%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	Details ...	22	0.67846406	2.0541131	0.0	4.3956918E-4	0.003	301	tags=18%, list=2%, signal=18%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS	Details ...	42	0.62474173	2.0530725	0.0	3.9561224E-4	0.003	3627	tags=52%, list=22%, signal=67%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Details ...	44	0.603697	2.0528364	0.0	4.4322526E-4	0.003	439	tags=18%, list=3%, signal=19%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	76	0.5465378	2.0364487	0.0	5.052481E-4	0.004	1876	tags=17%, list=11%, signal=19%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	22	0.68908244	2.0092785	0.0	4.663829E-4	0.004	4230	tags=64%, list=25%, signal=85%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	87	0.51927954	1.9567688	0.0	0.0011031552	0.01	2947	tags=37%, list=18%, signal=44%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION	Details ...	48	0.59972435	1.9191388	0.0019379845	0.0018135095	0.02	2002	tags=35%, list=12%, signal=40%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Details ...	24	0.6261019	1.9012257	0.0062761507	0.0022960936	0.027	4216	tags=42%, list=25%, signal=56%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	119	0.53413403	1.8993781	0.0	0.0022274244	0.028	3151	tags=50%, list=19%, signal=62%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	42	0.596555	1.8912637	0.0	0.0022713563	0.031	1658	tags=31%, list=10%, signal=34%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Details ...	17	0.68663234	1.8832854	0.0021505377	0.0023224016	0.034	3408	tags=71%, list=20%, signal=89%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	134	0.54594624	1.8702414	0.0	0.0029504655	0.042	2561	tags=43%, list=15%, signal=51%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		123	0.47846317	1.8641381	0.0	0.0031375887	0.047	4321	tags=50%, list=26%, signal=67%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		64	0.52346295	1.8473927	0.0	0.003978141	0.061	2002	tags=31%, list=12%, signal=35%	
