NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	Details ...	32	-0.5697093	-1.7681838	0.005988024	0.09029061	0.139	3690	tags=44%, list=22%, signal=56%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	221	-0.3825002	-1.6060613	0.0017636684	0.2674446	0.504	2395	tags=28%, list=14%, signal=32%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	27	-0.48407656	-1.5854023	0.03990025	0.20988005	0.552	1727	tags=22%, list=10%, signal=25%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	42	-0.4985073	-1.5700569	0.017142856	0.17906044	0.581	2336	tags=33%, list=14%, signal=39%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	28	-0.5000271	-1.5513316	0.023255814	0.16602138	0.614	2978	tags=36%, list=18%, signal=43%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	69	-0.7522293	-1.5444494	0.048449613	0.14681421	0.633	2020	tags=70%, list=12%, signal=79%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	24	-0.5198529	-1.5400461	0.01724138	0.1303446	0.65	1091	tags=17%, list=7%, signal=18%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Details ...	98	-0.4034196	-1.5128443	0.017110266	0.14464474	0.713	2099	tags=23%, list=13%, signal=27%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	33	-0.4530674	-1.4771513	0.05378973	0.16906883	0.785	1810	tags=27%, list=11%, signal=31%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	Details ...	56	-0.43014708	-1.4658386	0.037181996	0.16546683	0.801	1585	tags=30%, list=9%, signal=33%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	18	-0.50075763	-1.436186	0.07673267	0.18563682	0.858	1679	tags=28%, list=10%, signal=31%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	15	-0.57788587	-1.4279197	0.08550186	0.17918563	0.862	2300	tags=67%, list=14%, signal=77%	
