"test_ligand"	"auroc"	"aupr"	"pearson"	"rank"
"1"	"Apoe"	0.603800976349834	0.115301743512872	0.100968170331495	1
"2"	"Fgf1"	0.595539255638894	0.0991703836759636	0.0918483945790561	2
"3"	"Tgfb1"	0.606797263570171	0.101448365074256	0.0880753507154169	3
"4"	"Pik3cb"	0.604005833353899	0.0974709180471755	0.0880701954804387	4
"5"	"Cd320"	0.598422465849562	0.0983524487037873	0.0869809436061715	5
"6"	"Icam1"	0.600665751458423	0.0986291493287161	0.0863249915801574	6
"7"	"Nrtn"	0.60403794790074	0.0985947690664741	0.0861267374768467	7
"8"	"Pdgfb"	0.595829638751915	0.0965443841437776	0.0843082594972902	8
"9"	"Lgals3"	0.576209678918761	0.0974738311177217	0.0834970942379739	9
"10"	"Gas6"	0.596654982605748	0.0961018102417018	0.082642691732805	10
"11"	"Col4a1"	0.598070558025748	0.0931237004209298	0.0823626699226112	11
"12"	"Itgb1"	0.588492478942156	0.095959666947939	0.0820505309195511	12
"13"	"Gmfb"	0.598101320381142	0.0949034878002051	0.0813184390475623	13
"14"	"Plxnb2"	0.597823445038995	0.0949875521772491	0.0804491765536877	14
"15"	"Cx3cl1"	0.591916734755141	0.0928928387321636	0.0801908740570722	15
"16"	"Efna3"	0.598148647081752	0.0939746929091357	0.0795668516551108	16
"17"	"Cxcl5"	0.592038601009208	0.0957649107563529	0.0790775199694087	17
"18"	"Ctgf"	0.592675990252053	0.0938027358241567	0.0790525726719968	18
"19"	"Il34"	0.600334464554161	0.0939446108289733	0.0787261676704069	19
"20"	"Ceacam1"	0.590991328734306	0.0933727825419531	0.0777702816248258	20
"21"	"Tnfsf9"	0.594288478551372	0.0926534760033816	0.0772934658249925	21
"22"	"Hspg2"	0.590886702921175	0.0915476522110652	0.0769499114995947	22
"23"	"Lamb2"	0.587316241408094	0.0932118798333204	0.0768909866316847	23
"24"	"C3"	0.590008285553086	0.0928742717297334	0.07660040157859	24
"25"	"Cxcl1"	0.595315975026377	0.0944031385738538	0.0765623632317361	25
"26"	"Npw"	0.589921576276613	0.0942609834671401	0.0762910900488	26
"27"	"Adam17"	0.601438866917655	0.094648190567806	0.0761851941251944	27
"28"	"Efnb1"	0.590833967454781	0.0922090404876926	0.0757673929877852	28
"29"	"Cxcl16"	0.589924618707366	0.0924776588126728	0.0749216826140215	29
"30"	"Cxcl2"	0.586318324120967	0.0931252881011528	0.0744184211584553	30
"31"	"Hmgb1"	0.591811432846287	0.0921417368897765	0.0741440056992629	31
"32"	"Efna4"	0.591439242150784	0.0920671887009049	0.07393241861845	32
"33"	"Csf2"	0.603115922358522	0.097419501245379	0.0733824959435884	33
