NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	Details ...	23	0.6664223	1.9370767	0.0043010754	0.023985777	0.043	1555	tags=30%, list=9%, signal=34%	
GOCC_GOLGI_LUMEN	GOCC_GOLGI_LUMEN	Details ...	18	0.67304385	1.8927578	0.0020242915	0.02492007	0.085	2904	tags=56%, list=17%, signal=67%	
GOCC_COLLAGEN_TRIMER	GOCC_COLLAGEN_TRIMER	Details ...	60	0.52384204	1.8385375	0.0	0.036481444	0.17	963	tags=13%, list=6%, signal=14%	
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	GOCC_ENDOCYTIC_VESICLE_MEMBRANE	Details ...	35	0.58127916	1.8226222	0.0064935065	0.033337437	0.206	1178	tags=31%, list=7%, signal=34%	
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	Details ...	21	0.65976596	1.7772111	0.0043668123	0.04883422	0.328	354	tags=38%, list=2%, signal=39%	
GOCC_PLATELET_ALPHA_GRANULE	GOCC_PLATELET_ALPHA_GRANULE	Details ...	16	0.6258312	1.6547993	0.02226345	0.14377126	0.645	3000	tags=50%, list=18%, signal=61%	
GOCC_EARLY_ENDOSOME_MEMBRANE	GOCC_EARLY_ENDOSOME_MEMBRANE	Details ...	88	0.42717606	1.6306598	0.0020242915	0.15608336	0.727	2875	tags=39%, list=17%, signal=46%	
GOCC_MHC_PROTEIN_COMPLEX	GOCC_MHC_PROTEIN_COMPLEX	Details ...	24	0.6499339	1.5941756	0.03640257	0.1864967	0.809	2109	tags=58%, list=13%, signal=67%	
GOCC_INTEGRAL_COMPONENT_OF_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	GOCC_INTEGRAL_COMPONENT_OF_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	Details ...	18	0.550406	1.5212461	0.046255507	0.29580307	0.924	568	tags=22%, list=3%, signal=23%	
GOCC_MICROVILLUS_MEMBRANE	GOCC_MICROVILLUS_MEMBRANE	Details ...	19	0.541694	1.5137582	0.03926097	0.2828402	0.933	849	tags=32%, list=5%, signal=33%	
GOCC_ENDOCYTIC_VESICLE	GOCC_ENDOCYTIC_VESICLE	Details ...	191	0.35614964	1.4769902	0.009237875	0.34157774	0.966	1178	tags=20%, list=7%, signal=22%	
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	Details ...	384	0.3237892	1.462609	0.008	0.3473468	0.976	1080	tags=13%, list=6%, signal=13%	
GOCC_FILOPODIUM_TIP	GOCC_FILOPODIUM_TIP	Details ...	16	0.5720517	1.4624015	0.07925801	0.3214601	0.976	3135	tags=44%, list=19%, signal=54%	
GOCC_SECONDARY_LYSOSOME	GOCC_SECONDARY_LYSOSOME	Details ...	15	0.56654984	1.4565632	0.06352459	0.31011173	0.979	444	tags=33%, list=3%, signal=34%	
GOCC_PHAGOCYTIC_VESICLE	GOCC_PHAGOCYTIC_VESICLE	Details ...	104	0.39182132	1.4516608	0.027272727	0.2988983	0.981	1178	tags=25%, list=7%, signal=27%	
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	Details ...	16	0.5397291	1.4209037	0.07485604	0.34587145	0.99	4110	tags=56%, list=25%, signal=74%	
GOCC_CIS_GOLGI_NETWORK_MEMBRANE	GOCC_CIS_GOLGI_NETWORK_MEMBRANE	Details ...	16	0.56947404	1.4178498	0.10772358	0.3318265	0.99	1178	tags=38%, list=7%, signal=40%	
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	Details ...	22	0.54626024	1.4145483	0.09514926	0.32001945	0.99	1319	tags=36%, list=8%, signal=39%	
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	Details ...	421	0.30154398	1.4070407	0.0024813896	0.31773868	0.991	1360	tags=17%, list=8%, signal=18%	
GOCC_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	Details ...	21	0.4833042	1.4049225	0.07484408	0.30656227	0.992	568	tags=19%, list=3%, signal=20%	
GOCC_SEX_CHROMOSOME	GOCC_SEX_CHROMOSOME		38	0.43815842	1.402332	0.06451613	0.296664	0.992	1742	tags=34%, list=10%, signal=38%	
GOCC_LATE_ENDOSOME	GOCC_LATE_ENDOSOME		219	0.3375835	1.3879924	0.02097902	0.30975878	0.997	1445	tags=20%, list=9%, signal=21%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX		307	0.30737075	1.3523563	0.03862661	0.36992145	0.999	1080	tags=13%, list=6%, signal=14%	
GOCC_RETROMER_COMPLEX	GOCC_RETROMER_COMPLEX		20	0.47865564	1.3315353	0.114893615	0.4020168	0.999	1346	tags=20%, list=8%, signal=22%	
GOCC_EXTRACELLULAR_ORGANELLE	GOCC_EXTRACELLULAR_ORGANELLE		88	0.35354924	1.3308877	0.055900622	0.3872944	0.999	850	tags=24%, list=5%, signal=25%	
GOCC_CHLORIDE_CHANNEL_COMPLEX	GOCC_CHLORIDE_CHANNEL_COMPLEX		23	0.46164793	1.3305768	0.14012739	0.37320086	0.999	551	tags=13%, list=3%, signal=13%	
GOCC_COP9_SIGNALOSOME	GOCC_COP9_SIGNALOSOME		34	0.41266862	1.3157498	0.11162791	0.39198935	1.0	1860	tags=24%, list=11%, signal=26%	
GOCC_RNAI_EFFECTOR_COMPLEX	GOCC_RNAI_EFFECTOR_COMPLEX		15	0.500484	1.3129437	0.15187377	0.38461518	1.0	3264	tags=47%, list=19%, signal=58%	
GOCC_ACROSOMAL_MEMBRANE	GOCC_ACROSOMAL_MEMBRANE		18	0.4680995	1.3022033	0.16344464	0.3957927	1.0	4114	tags=44%, list=25%, signal=59%	
GOCC_PRESYNAPTIC_CYTOSOL	GOCC_PRESYNAPTIC_CYTOSOL		21	0.44207963	1.3000484	0.12694877	0.38830444	1.0	1593	tags=24%, list=10%, signal=26%	
GOCC_NUCLEOSOME	GOCC_NUCLEOSOME		69	0.36490643	1.293689	0.112266116	0.390147	1.0	1868	tags=28%, list=11%, signal=31%	
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX		26	0.47091046	1.2696096	0.19038817	0.43366387	1.0	1319	tags=35%, list=8%, signal=38%	
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE	GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE		21	0.42310384	1.2584579	0.15384616	0.44778726	1.0	991	tags=19%, list=6%, signal=20%	
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX		51	0.36557195	1.2513192	0.1412037	0.452526	1.0	2270	tags=25%, list=14%, signal=29%	
