NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_NAD_BINDING	GOMF_NAD_BINDING	Details ...	58	-0.65989244	-2.270557	0.0	0.0	0.0	2786	tags=45%, list=17%, signal=54%	
GOMF_ACTIN_MONOMER_BINDING	GOMF_ACTIN_MONOMER_BINDING	Details ...	23	-0.68556184	-2.1061065	0.0	0.0033457305	0.004	2089	tags=30%, list=12%, signal=35%	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY	Details ...	481	-0.5389498	-2.0916767	0.0	0.0025243799	0.005	2364	tags=28%, list=14%, signal=32%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	Details ...	27	-0.65769	-2.0496995	0.0	0.003794035	0.011	1789	tags=30%, list=11%, signal=33%	
GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS	GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS	Details ...	15	-0.7531775	-1.9835039	0.0022123894	0.009567151	0.035	122	tags=13%, list=1%, signal=13%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	159	-0.7500913	-1.9633955	0.0018975332	0.0116354395	0.052	1719	tags=53%, list=10%, signal=58%	
GOMF_CARBON_OXYGEN_LYASE_ACTIVITY	GOMF_CARBON_OXYGEN_LYASE_ACTIVITY	Details ...	76	-0.5150307	-1.939726	0.0	0.014944641	0.076	4004	tags=38%, list=24%, signal=50%	
GOMF_HYDRO_LYASE_ACTIVITY	GOMF_HYDRO_LYASE_ACTIVITY	Details ...	59	-0.5236989	-1.9386868	0.0	0.013076561	0.076	4004	tags=37%, list=24%, signal=49%	
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	88	-0.45971158	-1.933921	0.0	0.012424714	0.079	2164	tags=16%, list=13%, signal=18%	
GOMF_RNA_POLYMERASE_ACTIVITY	GOMF_RNA_POLYMERASE_ACTIVITY	Details ...	33	-0.6353561	-1.9124098	0.0	0.015373225	0.106	4407	tags=61%, list=26%, signal=82%	
GOMF_MONOOXYGENASE_ACTIVITY	GOMF_MONOOXYGENASE_ACTIVITY	Details ...	59	-0.5208085	-1.9059433	0.0	0.015267902	0.115	1789	tags=25%, list=11%, signal=28%	
GOMF_ACTININ_BINDING	GOMF_ACTININ_BINDING	Details ...	32	-0.54726404	-1.9015222	0.0	0.0149258515	0.123	418	tags=13%, list=2%, signal=13%	
GOMF_THIOLESTER_HYDROLASE_ACTIVITY	GOMF_THIOLESTER_HYDROLASE_ACTIVITY	Details ...	40	-0.6006414	-1.9008996	0.0	0.013946254	0.125	2720	tags=45%, list=16%, signal=54%	
GOMF_ALPHA_ACTININ_BINDING	GOMF_ALPHA_ACTININ_BINDING	Details ...	23	-0.5743076	-1.8919381	0.0050890585	0.014551659	0.137	348	tags=13%, list=2%, signal=13%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	Details ...	73	-0.6615813	-1.890727	0.0019267823	0.014227265	0.144	2245	tags=45%, list=13%, signal=52%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	Details ...	106	-0.49096096	-1.886376	0.001980198	0.01392815	0.15	3306	tags=32%, list=20%, signal=40%	
GOMF_QUINONE_BINDING	GOMF_QUINONE_BINDING	Details ...	15	-0.73372036	-1.8852559	0.0	0.013322966	0.153	2036	tags=53%, list=12%, signal=61%	
GOMF_HSP70_PROTEIN_BINDING	GOMF_HSP70_PROTEIN_BINDING	Details ...	48	-0.54604465	-1.8695271	0.0	0.01599422	0.188	2961	tags=31%, list=18%, signal=38%	
GOMF_LAMIN_BINDING	GOMF_LAMIN_BINDING	Details ...	15	-0.70472634	-1.8474374	0.0	0.02036076	0.243	2500	tags=60%, list=15%, signal=70%	
GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY	GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY	Details ...	35	-0.56208766	-1.8439897	0.002232143	0.02033099	0.251	2839	tags=37%, list=17%, signal=45%	
GOMF_MRNA_5_UTR_BINDING	GOMF_MRNA_5_UTR_BINDING		27	-0.6969627	-1.8354932	0.0018903592	0.02158289	0.277	1443	tags=41%, list=9%, signal=45%	
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		48	-0.7045469	-1.8342578	0.0	0.02075167	0.278	2308	tags=50%, list=14%, signal=58%	
GOMF_PROTEIN_TYROSINE_KINASE_BINDING	GOMF_PROTEIN_TYROSINE_KINASE_BINDING		112	-0.4775201	-1.8242604	0.0	0.02239728	0.306	3360	tags=34%, list=20%, signal=42%	
GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING		40	-0.54590315	-1.8241059	0.0	0.02146406	0.306	2517	tags=30%, list=15%, signal=35%	
GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY		24	-0.6823219	-1.8238088	0.0018761726	0.020605497	0.306	1528	tags=29%, list=9%, signal=32%	
GOMF_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	GOMF_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY		85	-0.5028707	-1.8225948	0.0	0.02015393	0.307	5167	tags=51%, list=31%, signal=73%	
GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY	GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY		16	-0.71906453	-1.8194879	0.0019120459	0.019913718	0.316	1673	tags=38%, list=10%, signal=42%	
GOMF_COA_HYDROLASE_ACTIVITY	GOMF_COA_HYDROLASE_ACTIVITY		20	-0.6553717	-1.8142343	0.0018281536	0.020647041	0.334	2720	tags=55%, list=16%, signal=66%	
GOMF_ACTIN_BINDING	GOMF_ACTIN_BINDING		380	-0.40825486	-1.8130096	0.0	0.020319559	0.337	2565	tags=25%, list=15%, signal=29%	
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS	GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS		59	-0.5356654	-1.8111424	0.0	0.020080982	0.342	2257	tags=29%, list=13%, signal=33%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR		34	-0.65052724	-1.8110139	0.0020325202	0.019505555	0.344	2308	tags=38%, list=14%, signal=44%	
GOMF_ACTIN_FILAMENT_BINDING	GOMF_ACTIN_FILAMENT_BINDING		188	-0.43619722	-1.798843	0.0	0.022713045	0.39	2365	tags=27%, list=14%, signal=31%	
GOMF_FAD_BINDING	GOMF_FAD_BINDING		36	-0.57614017	-1.7830294	0.0017985612	0.026350278	0.447	1795	tags=33%, list=11%, signal=37%	
GOMF_NADH_DEHYDROGENASE_QUINONE_ACTIVITY	GOMF_NADH_DEHYDROGENASE_QUINONE_ACTIVITY		22	-0.7328248	-1.776684	0.003968254	0.027420929	0.471	2308	tags=55%, list=14%, signal=63%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS		48	-0.5029475	-1.7733479	0.0	0.027993504	0.483	2789	tags=25%, list=17%, signal=30%	
GOMF_NADH_DEHYDROGENASE_ACTIVITY	GOMF_NADH_DEHYDROGENASE_ACTIVITY		23	-0.72021085	-1.7731186	0.005882353	0.027284341	0.484	2308	tags=52%, list=14%, signal=60%	
GOMF_SIALYLTRANSFERASE_ACTIVITY	GOMF_SIALYLTRANSFERASE_ACTIVITY		17	-0.6332905	-1.769329	0.010121457	0.027756885	0.499	3361	tags=59%, list=20%, signal=74%	
GOMF_PROTEIN_KINASE_A_BINDING	GOMF_PROTEIN_KINASE_A_BINDING		47	-0.5321356	-1.7659425	0.0	0.028173802	0.513	3365	tags=34%, list=20%, signal=42%	
