NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE	GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE	Details ...	15	0.8383333	2.3179238	0.0	0.0	0.0	169	tags=33%, list=1%, signal=34%	
GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	Details ...	18	0.7926025	2.2981536	0.0	0.0	0.0	1583	tags=61%, list=8%, signal=66%	
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	Details ...	51	0.6229162	2.2769976	0.0	0.0	0.0	2895	tags=45%, list=15%, signal=53%	
GOBP_CELL_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_CELL_JUNCTION_ASSEMBLY	Details ...	155	0.5101356	2.2744825	0.0	0.0	0.0	2712	tags=31%, list=14%, signal=36%	
GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	Details ...	29	0.6735328	2.2051392	0.0	0.002011231	0.009	593	tags=34%, list=3%, signal=35%	
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	GOBP_CELL_CELL_JUNCTION_ORGANIZATION	Details ...	216	0.47259405	2.1942587	0.0	0.003170708	0.017	3111	tags=31%, list=16%, signal=36%	
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	Details ...	74	0.5517039	2.1847405	0.0	0.003686551	0.023	2895	tags=38%, list=15%, signal=44%	
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	Details ...	25	0.6850707	2.1829464	0.0	0.0032257324	0.023	3820	tags=64%, list=19%, signal=79%	
GOBP_EPITHELIAL_CELL_DEVELOPMENT	GOBP_EPITHELIAL_CELL_DEVELOPMENT	Details ...	237	0.4493517	2.115339	0.0	0.008610569	0.064	2896	tags=31%, list=15%, signal=36%	
GOBP_VASCULOGENESIS	GOBP_VASCULOGENESIS	Details ...	97	0.50727737	2.099095	0.0	0.010215287	0.083	5327	tags=52%, list=27%, signal=70%	
GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS	GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS	Details ...	26	0.6416631	2.078566	0.0	0.012351251	0.109	344	tags=27%, list=2%, signal=27%	
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	Details ...	27	0.6433451	2.073167	0.0	0.01272115	0.121	634	tags=26%, list=3%, signal=27%	
GOBP_WATER_HOMEOSTASIS	GOBP_WATER_HOMEOSTASIS	Details ...	75	0.5069746	2.0488057	0.0	0.017271288	0.175	2037	tags=25%, list=10%, signal=28%	
GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	Details ...	57	0.5299034	2.0382152	0.0	0.018840736	0.207	2872	tags=40%, list=14%, signal=47%	
GOBP_ENDOTHELIUM_DEVELOPMENT	GOBP_ENDOTHELIUM_DEVELOPMENT	Details ...	139	0.45503134	2.0336437	0.0	0.01826156	0.213	2895	tags=33%, list=15%, signal=38%	
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	Details ...	243	0.4299389	2.0253425	0.0	0.018871568	0.233	3540	tags=37%, list=18%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY	Details ...	18	0.68662137	2.02377	0.0	0.0181582	0.239	1246	tags=33%, list=6%, signal=36%	
GOBP_LUNG_ALVEOLUS_DEVELOPMENT	GOBP_LUNG_ALVEOLUS_DEVELOPMENT	Details ...	64	0.52346146	2.0205464	0.0	0.018274253	0.252	878	tags=22%, list=4%, signal=23%	
GOBP_APICAL_JUNCTION_ASSEMBLY	GOBP_APICAL_JUNCTION_ASSEMBLY	Details ...	88	0.49289975	2.0045037	0.0	0.022160647	0.312	1664	tags=24%, list=8%, signal=26%	
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	Details ...	114	0.46478564	1.9899613	0.0	0.025362212	0.363	2316	tags=31%, list=12%, signal=35%	
GOBP_TIGHT_JUNCTION_ORGANIZATION	GOBP_TIGHT_JUNCTION_ORGANIZATION		92	0.48347333	1.9897426	0.0	0.024262246	0.365	3495	tags=33%, list=18%, signal=39%	
GOBP_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_JUNCTION_ASSEMBLY		438	0.39444545	1.981734	0.0	0.025654549	0.396	3908	tags=32%, list=20%, signal=38%	
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE		20	0.6588882	1.9745865	0.0	0.026786208	0.425	3220	tags=60%, list=16%, signal=71%	
GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN		17	0.6959723	1.9734479	0.0	0.026042905	0.431	3820	tags=65%, list=19%, signal=80%	
GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT		207	0.4246648	1.9670457	0.0	0.027239267	0.463	3981	tags=39%, list=20%, signal=48%	
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT	GOBP_EXOCRINE_SYSTEM_DEVELOPMENT		53	0.5247338	1.9662151	0.0	0.026538813	0.469	4245	tags=51%, list=21%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY		38	0.5591893	1.9623196	0.0017006802	0.027090495	0.488	3714	tags=45%, list=19%, signal=55%	
GOBP_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	GOBP_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION		25	0.6216137	1.955706	0.0017793594	0.028324777	0.517	3180	tags=48%, list=16%, signal=57%	
GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT	GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT		20	0.6563875	1.9445304	0.0016806723	0.032149777	0.57	2469	tags=50%, list=12%, signal=57%	
