NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	55	-0.56564444	-2.294722	0.0	0.0040170285	0.005	2692	tags=45%, list=13%, signal=52%	
GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	21	-0.69104415	-2.2019567	0.0	0.008885798	0.022	3869	tags=62%, list=19%, signal=77%	
GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	17	-0.7349135	-2.1890988	0.0	0.0069868723	0.026	2601	tags=59%, list=13%, signal=68%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	Details ...	71	-0.5103876	-2.179543	0.0	0.006434111	0.032	3869	tags=41%, list=19%, signal=50%	
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNAL_TRANSDUCTION	GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNAL_TRANSDUCTION	Details ...	18	-0.6886541	-2.1482985	0.0	0.009177857	0.056	3861	tags=67%, list=19%, signal=83%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	Details ...	33	-0.5977613	-2.143223	0.0	0.008180957	0.06	3869	tags=58%, list=19%, signal=71%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	Details ...	40	-0.580509	-2.1398554	0.0	0.007237365	0.062	3869	tags=55%, list=19%, signal=68%	
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	Details ...	32	-0.59499216	-2.1174855	0.0	0.00854862	0.083	4474	tags=59%, list=22%, signal=76%	
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	Details ...	28	-0.59751064	-2.1036463	0.0	0.009565578	0.103	2496	tags=46%, list=13%, signal=53%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	119	-0.45786178	-2.102049	0.0	0.008770793	0.103	3256	tags=35%, list=16%, signal=42%	
GOBP_POSITIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	Details ...	135	-0.434911	-2.0899663	0.0	0.009211436	0.12	2952	tags=31%, list=15%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	Details ...	21	-0.6549846	-2.0865693	0.0	0.00878298	0.124	3549	tags=57%, list=18%, signal=69%	
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	Details ...	53	-0.51370215	-2.0748858	0.0	0.009722381	0.145	2937	tags=38%, list=15%, signal=44%	
GOBP_RESPONSE_TO_PROTOZOAN	GOBP_RESPONSE_TO_PROTOZOAN	Details ...	37	-0.54173964	-2.0609262	0.0	0.010631341	0.168	4250	tags=54%, list=21%, signal=69%	
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	Details ...	225	-0.3937175	-2.0478868	0.0	0.011905077	0.202	3921	tags=37%, list=20%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	Details ...	42	-0.53126	-2.044469	0.0	0.011709009	0.213	2655	tags=36%, list=13%, signal=41%	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	60	-0.49625644	-2.0414846	0.0	0.011444926	0.221	3796	tags=43%, list=19%, signal=53%	
GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION	GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION	Details ...	16	-0.687453	-2.0319264	0.0	0.012495534	0.247	1169	tags=38%, list=6%, signal=40%	
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	180	-0.4039768	-2.0206733	0.0	0.013740374	0.278	2709	tags=28%, list=14%, signal=32%	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	Details ...	307	-0.37886158	-2.0150146	0.0	0.014213759	0.3	3784	tags=34%, list=19%, signal=41%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION		62	-0.48556024	-2.0145526	0.0	0.013653524	0.302	2960	tags=39%, list=15%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS		16	-0.67064184	-2.0047743	0.0	0.014936687	0.338	3549	tags=56%, list=18%, signal=68%	
GOBP_GRANULOCYTE_ACTIVATION	GOBP_GRANULOCYTE_ACTIVATION		46	-0.50732785	-1.9921005	0.0	0.017110081	0.382	2549	tags=37%, list=13%, signal=42%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS		34	-0.5503925	-1.9907583	0.0	0.016628746	0.387	2930	tags=41%, list=15%, signal=48%	
GOBP_RESPONSE_TO_FUNGUS	GOBP_RESPONSE_TO_FUNGUS		67	-0.459094	-1.9805007	0.0	0.018338742	0.422	4865	tags=46%, list=24%, signal=61%	
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE		49	-0.49821398	-1.9767545	0.0	0.018780138	0.441	2531	tags=37%, list=13%, signal=42%	
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		114	-0.42223057	-1.975145	0.0	0.018472545	0.449	1664	tags=27%, list=8%, signal=29%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I		48	-0.4971619	-1.9696131	0.0	0.018614542	0.466	3425	tags=35%, list=17%, signal=43%	
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		20	-0.6221182	-1.9514536	0.0	0.022459723	0.553	2916	tags=50%, list=15%, signal=58%	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	GOBP_MYELOID_LEUKOCYTE_ACTIVATION		263	-0.37150767	-1.9475894	0.0	0.022886856	0.569	2952	tags=32%, list=15%, signal=37%	
GOBP_EOSINOPHIL_MIGRATION	GOBP_EOSINOPHIL_MIGRATION		22	-0.6066428	-1.946376	0.0	0.022621006	0.576	3072	tags=59%, list=15%, signal=70%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II		26	-0.57097703	-1.9185036	0.0022573364	0.030360593	0.696	3869	tags=50%, list=19%, signal=62%	
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE		230	-0.37621254	-1.9167383	0.0	0.029927455	0.701	2952	tags=26%, list=15%, signal=30%	
GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT	GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT		16	-0.6290445	-1.9117469	0.0022573364	0.030754661	0.724	554	tags=25%, list=3%, signal=26%	
GOBP_DEFENSE_RESPONSE_TO_FUNGUS	GOBP_DEFENSE_RESPONSE_TO_FUNGUS		55	-0.47024578	-1.903985	0.0	0.032289647	0.748	4865	tags=45%, list=24%, signal=60%	
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		307	-0.3523585	-1.8946184	0.0	0.03507046	0.787	3232	tags=28%, list=16%, signal=33%	
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_LEUKOCYTE_MEDIATED_IMMUNITY		454	-0.34458932	-1.8897983	0.0	0.03620966	0.804	3233	tags=28%, list=16%, signal=33%	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY		21	-0.5882655	-1.8887023	0.0023255814	0.035744715	0.81	2714	tags=38%, list=14%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	GOBP_POSITIVE_REGULATION_OF_CELL_KILLING		92	-0.41799018	-1.8860089	0.0	0.036023904	0.822	4666	tags=40%, list=23%, signal=52%	
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE		186	-0.37739205	-1.879109	0.0	0.03776106	0.837	3750	tags=30%, list=19%, signal=37%	
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS		359	-0.34591195	-1.8780724	0.0	0.0371949	0.838	2952	tags=25%, list=15%, signal=29%	
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY		131	-0.39212233	-1.8733007	0.0	0.038295817	0.851	3784	tags=37%, list=19%, signal=45%	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	GOBP_ADAPTIVE_IMMUNE_RESPONSE		460	-0.3361054	-1.8703108	0.0	0.0387516	0.864	2960	tags=26%, list=15%, signal=30%	
GOBP_MAST_CELL_ACTIVATION	GOBP_MAST_CELL_ACTIVATION		93	-0.4149347	-1.8644754	0.0	0.040648684	0.883	3392	tags=38%, list=17%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE		291	-0.35464472	-1.8630068	0.0	0.04044339	0.884	2718	tags=27%, list=14%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY		25	-0.5509214	-1.8567832	0.0025641026	0.04257106	0.897	3208	tags=40%, list=16%, signal=48%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION		40	-0.49456856	-1.8528832	0.0025	0.043113235	0.901	2869	tags=43%, list=14%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN		22	-0.5770551	-1.845742	0.0023148148	0.045231353	0.914	2457	tags=41%, list=12%, signal=47%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		279	-0.35150295	-1.8433918	0.0	0.045391116	0.918	3232	tags=29%, list=16%, signal=35%	
GOBP_B_CELL_MEDIATED_IMMUNITY	GOBP_B_CELL_MEDIATED_IMMUNITY		158	-0.37400323	-1.8319044	0.0	0.04986748	0.933	2496	tags=23%, list=13%, signal=27%	
GOBP_PYROPTOSIS	GOBP_PYROPTOSIS		30	-0.52351665	-1.8300624	0.0047281324	0.049886707	0.936	2718	tags=33%, list=14%, signal=39%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		72	-0.42250413	-1.8202236	0.0	0.053635437	0.954	2949	tags=32%, list=15%, signal=37%	
GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION		68	-0.43345726	-1.8189067	0.0	0.053311013	0.957	2913	tags=35%, list=15%, signal=41%	
GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY		16	-0.6028302	-1.8184491	0.006976744	0.05254797	0.957	2729	tags=44%, list=14%, signal=51%	
GOBP_CD40_SIGNALING_PATHWAY	GOBP_CD40_SIGNALING_PATHWAY		17	-0.58460385	-1.8182743	0.002247191	0.051695548	0.957	1658	tags=24%, list=8%, signal=26%	
GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS	GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS		17	-0.5967504	-1.8165861	0.0067114094	0.051502097	0.961	2325	tags=41%, list=12%, signal=47%	
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS	GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS		74	-0.422685	-1.8141203	0.0	0.052062545	0.966	3255	tags=32%, list=16%, signal=39%	
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE		141	-0.37903157	-1.8135666	0.0	0.051415317	0.966	2718	tags=30%, list=14%, signal=35%	
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST		44	-0.46638763	-1.8105465	0.0	0.052218173	0.969	4234	tags=43%, list=21%, signal=55%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		170	-0.36407718	-1.8097167	0.0	0.051801022	0.969	3425	tags=29%, list=17%, signal=35%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA		130	-0.3771225	-1.7982717	0.0	0.05669726	0.975	4201	tags=40%, list=21%, signal=50%	
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS		134	-0.37864074	-1.7958713	0.0	0.05709255	0.978	3072	tags=29%, list=15%, signal=34%	
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY		390	-0.33131737	-1.7941884	0.0	0.057107337	0.978	3144	tags=28%, list=16%, signal=32%	
GOBP_LYMPHOCYTE_CHEMOTAXIS	GOBP_LYMPHOCYTE_CHEMOTAXIS		54	-0.45501494	-1.7919497	0.0	0.057422966	0.979	4628	tags=57%, list=23%, signal=75%	
GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE		25	-0.53250265	-1.7897892	0.004842615	0.05751513	0.979	1005	tags=28%, list=5%, signal=29%	
GOBP_INTERFERON_GAMMA_PRODUCTION	GOBP_INTERFERON_GAMMA_PRODUCTION		132	-0.37173194	-1.7860028	0.0	0.058690067	0.984	3337	tags=36%, list=17%, signal=42%	
