NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_GROWTH_FACTOR_BINDING	GOMF_GROWTH_FACTOR_BINDING	Details ...	149	0.47021914	2.0960696	0.0	0.021767287	0.018	4287	tags=43%, list=21%, signal=54%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	Details ...	149	0.462055	2.0434852	0.0	0.026844084	0.045	3896	tags=40%, list=20%, signal=49%	
GOMF_FLIPPASE_ACTIVITY	GOMF_FLIPPASE_ACTIVITY	Details ...	17	0.7019211	1.9924803	0.0	0.037913278	0.097	2099	tags=53%, list=11%, signal=59%	
GOMF_CADHERIN_BINDING	GOMF_CADHERIN_BINDING	Details ...	69	0.5078536	1.9913241	0.0	0.028708482	0.098	3803	tags=39%, list=19%, signal=48%	
GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	Details ...	24	0.64335984	1.9877213	0.0	0.023640668	0.1	4222	tags=58%, list=21%, signal=74%	
GOMF_TROPOMYOSIN_BINDING	GOMF_TROPOMYOSIN_BINDING	Details ...	15	0.71832925	1.9774384	0.0	0.021786775	0.11	1020	tags=33%, list=5%, signal=35%	
GOMF_PHOSPHOLIPID_TRANSPORTER_ACTIVITY	GOMF_PHOSPHOLIPID_TRANSPORTER_ACTIVITY	Details ...	65	0.4971382	1.9630586	0.0	0.021912454	0.128	3854	tags=42%, list=19%, signal=51%	
GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_BINDING	GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_BINDING	Details ...	24	0.61638904	1.9182851	0.0	0.033198208	0.208	5118	tags=67%, list=26%, signal=90%	
GOMF_GLUTAMATE_RECEPTOR_BINDING	GOMF_GLUTAMATE_RECEPTOR_BINDING	Details ...	67	0.49532032	1.9154254	0.0	0.030744934	0.217	6235	tags=57%, list=31%, signal=82%	
GOMF_BETA_CATENIN_BINDING	GOMF_BETA_CATENIN_BINDING	Details ...	97	0.45740867	1.9055741	0.0	0.03278207	0.253	4746	tags=42%, list=24%, signal=55%	
GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	Details ...	50	0.5045899	1.876583	0.0	0.0430264	0.345	3854	tags=44%, list=19%, signal=54%	
GOMF_LAMIN_BINDING	GOMF_LAMIN_BINDING	Details ...	17	0.6666669	1.8704435	0.003533569	0.043233562	0.364	2100	tags=41%, list=11%, signal=46%	
GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING	GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING	Details ...	29	0.55430174	1.8586663	0.0	0.046702344	0.407	6013	tags=69%, list=30%, signal=99%	
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	Details ...	15	0.66914415	1.8418316	0.0035714286	0.052381244	0.461	4284	tags=60%, list=21%, signal=76%	
GOMF_PROTEIN_KINASE_A_BINDING	GOMF_PROTEIN_KINASE_A_BINDING	Details ...	55	0.48000503	1.8113465	0.0	0.0702578	0.587	4776	tags=44%, list=24%, signal=57%	
GOMF_G_PROTEIN_ACTIVITY	GOMF_G_PROTEIN_ACTIVITY	Details ...	38	0.51125306	1.7988726	0.0	0.07643924	0.643	4438	tags=58%, list=22%, signal=74%	
GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	Details ...	21	0.589121	1.7877328	0.0018050541	0.080414884	0.678	1197	tags=29%, list=6%, signal=30%	
GOMF_EXTRACELLULAR_MATRIX_BINDING	GOMF_EXTRACELLULAR_MATRIX_BINDING	Details ...	57	0.47376084	1.7768891	0.0034364262	0.08539026	0.72	2510	tags=37%, list=13%, signal=42%	
GOMF_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING	GOMF_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING	Details ...	87	0.42980915	1.7651283	0.0	0.091192946	0.76	3410	tags=34%, list=17%, signal=41%	
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	Details ...	78	0.4426633	1.7619886	0.0	0.088497706	0.772	3269	tags=35%, list=16%, signal=41%	
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY		60	0.4643342	1.7552546	0.0033670033	0.089069195	0.789	2562	tags=33%, list=13%, signal=38%	
GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY		28	0.52994365	1.7446283	0.0051020407	0.09407193	0.818	2099	tags=36%, list=11%, signal=40%	
