NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	Details ...	25	-0.66961217	-2.1510355	0.0	0.02090084	0.034	2813	tags=48%, list=14%, signal=56%	
GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	Details ...	18	-0.7234181	-2.1119578	0.0	0.01785355	0.058	2081	tags=56%, list=10%, signal=62%	
GOBP_NEPHRON_TUBULE_FORMATION	GOBP_NEPHRON_TUBULE_FORMATION	Details ...	20	-0.6719907	-2.0797312	0.0	0.01907591	0.092	2685	tags=55%, list=13%, signal=63%	
GOBP_PLASMA_MEMBRANE_FUSION	GOBP_PLASMA_MEMBRANE_FUSION	Details ...	24	-0.6415731	-2.0245075	0.0	0.031341173	0.186	4431	tags=58%, list=22%, signal=75%	
GOBP_FOREBRAIN_REGIONALIZATION	GOBP_FOREBRAIN_REGIONALIZATION	Details ...	27	-0.5899594	-1.9728891	0.003984064	0.05633563	0.364	4149	tags=44%, list=21%, signal=56%	
GOBP_RETINOL_METABOLIC_PROCESS	GOBP_RETINOL_METABOLIC_PROCESS	Details ...	37	-0.5493824	-1.9552128	0.0	0.0603565	0.437	3771	tags=46%, list=19%, signal=57%	
GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	Details ...	17	-0.66746646	-1.9443796	0.00589391	0.060068596	0.485	2813	tags=47%, list=14%, signal=55%	
GOBP_DEVELOPMENTAL_INDUCTION	GOBP_DEVELOPMENTAL_INDUCTION	Details ...	44	-0.5275272	-1.9391505	0.0	0.056172658	0.508	4504	tags=50%, list=23%, signal=64%	
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	Details ...	39	-0.53182364	-1.9349171	0.0	0.05340693	0.533	5810	tags=64%, list=29%, signal=90%	
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	Details ...	38	-0.5351445	-1.9179851	0.0019723866	0.061026517	0.617	2636	tags=34%, list=13%, signal=39%	
GOBP_BILE_ACID_METABOLIC_PROCESS	GOBP_BILE_ACID_METABOLIC_PROCESS	Details ...	44	-0.50695413	-1.8913503	0.0020833334	0.07771699	0.756	4231	tags=45%, list=21%, signal=58%	
