NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_LAMELLAR_BODY	GOCC_LAMELLAR_BODY	Details ...	16	-0.7311702	-2.0367463	0.0	0.011987294	0.02	958	tags=44%, list=5%, signal=46%	
GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX	GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX	Details ...	16	-0.65956575	-1.9041575	0.002057613	0.042915024	0.135	339	tags=31%, list=2%, signal=32%	
GOCC_APICOLATERAL_PLASMA_MEMBRANE	GOCC_APICOLATERAL_PLASMA_MEMBRANE	Details ...	25	-0.5787277	-1.863076	0.0	0.04070884	0.19	3399	tags=40%, list=17%, signal=48%	
GOCC_TIGHT_JUNCTION	GOCC_TIGHT_JUNCTION	Details ...	145	-0.37340668	-1.7173909	0.0	0.14005464	0.61	4882	tags=40%, list=24%, signal=53%	
GOCC_APICAL_JUNCTION_COMPLEX	GOCC_APICAL_JUNCTION_COMPLEX	Details ...	161	-0.34097978	-1.6045107	0.0	0.3185903	0.936	3466	tags=30%, list=17%, signal=36%	
GOCC_VOLTAGE_GATED_POTASSIUM_CHANNEL_COMPLEX	GOCC_VOLTAGE_GATED_POTASSIUM_CHANNEL_COMPLEX	Details ...	76	-0.3733511	-1.5805391	0.00984252	0.32423708	0.965	5868	tags=45%, list=29%, signal=63%	
GOCC_M_BAND	GOCC_M_BAND	Details ...	19	-0.5153994	-1.5785197	0.028462999	0.28242	0.968	7633	tags=68%, list=38%, signal=111%	
GOCC_FEMALE_GERM_CELL_NUCLEUS	GOCC_FEMALE_GERM_CELL_NUCLEUS	Details ...	25	-0.48517725	-1.5755008	0.021194605	0.25301504	0.969	3962	tags=48%, list=20%, signal=60%	
GOCC_MYOSIN_FILAMENT	GOCC_MYOSIN_FILAMENT	Details ...	22	-0.49655682	-1.558195	0.02131783	0.26096582	0.98	5716	tags=59%, list=29%, signal=83%	
GOCC_CATENIN_COMPLEX	GOCC_CATENIN_COMPLEX	Details ...	31	-0.4526893	-1.5521575	0.029288704	0.24593173	0.984	3887	tags=35%, list=19%, signal=44%	
GOCC_LATERAL_PLASMA_MEMBRANE	GOCC_LATERAL_PLASMA_MEMBRANE	Details ...	67	-0.3853417	-1.5467886	0.008230452	0.23276284	0.988	2442	tags=27%, list=12%, signal=31%	
GOCC_SODIUM_CHANNEL_COMPLEX	GOCC_SODIUM_CHANNEL_COMPLEX	Details ...	28	-0.45835218	-1.5286691	0.04225352	0.24434529	0.993	4419	tags=39%, list=22%, signal=50%	
