NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_ODORANT_BINDING	GOMF_ODORANT_BINDING	Details ...	401	-0.5084676	-2.8001983	0.0	0.0	0.0	6900	tags=64%, list=35%, signal=96%	
GOMF_HORMONE_ACTIVITY	GOMF_HORMONE_ACTIVITY	Details ...	127	-0.47572428	-2.2737534	0.0	0.0	0.0	3976	tags=46%, list=20%, signal=57%	
GOMF_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GOMF_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	Details ...	57	-0.5248049	-2.141566	0.0	0.0024298162	0.011	5549	tags=56%, list=28%, signal=78%	
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	107	-0.44468102	-2.0797427	0.0	0.0051128343	0.031	5549	tags=51%, list=28%, signal=71%	
GOMF_TASTE_RECEPTOR_ACTIVITY	GOMF_TASTE_RECEPTOR_ACTIVITY	Details ...	39	-0.54587066	-2.0348046	0.0	0.009244205	0.066	5190	tags=54%, list=26%, signal=73%	
GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	Details ...	42	-0.52175367	-2.008477	0.0	0.009671746	0.084	5922	tags=60%, list=30%, signal=84%	
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	76	-0.45587122	-1.9975978	0.0	0.009323506	0.094	5549	tags=47%, list=28%, signal=65%	
GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY	GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY	Details ...	28	-0.56799865	-1.9943247	0.0	0.008660995	0.1	5292	tags=64%, list=27%, signal=87%	
GOMF_NEUROPEPTIDE_HORMONE_ACTIVITY	GOMF_NEUROPEPTIDE_HORMONE_ACTIVITY	Details ...	28	-0.5728871	-1.9775949	0.0	0.0099888565	0.125	4184	tags=54%, list=21%, signal=68%	
GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	Details ...	71	-0.45857728	-1.9595705	0.0	0.0108294245	0.147	5549	tags=49%, list=28%, signal=68%	
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	Details ...	62	-0.4730102	-1.9431822	0.0	0.0121530695	0.172	5549	tags=50%, list=28%, signal=69%	
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	GOMF_PEPTIDE_RECEPTOR_ACTIVITY	Details ...	151	-0.39283866	-1.9159772	0.0	0.014655081	0.226	5175	tags=42%, list=26%, signal=57%	
GOMF_SEROTONIN_RECEPTOR_ACTIVITY	GOMF_SEROTONIN_RECEPTOR_ACTIVITY	Details ...	35	-0.5169903	-1.9103682	0.0021459227	0.014226667	0.235	5773	tags=63%, list=29%, signal=88%	
GOMF_ANDROSTERONE_DEHYDROGENASE_ACTIVITY	GOMF_ANDROSTERONE_DEHYDROGENASE_ACTIVITY	Details ...	16	-0.6289369	-1.9071281	0.0	0.01381748	0.246	5868	tags=75%, list=29%, signal=106%	
GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY	GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY	Details ...	33	-0.52789646	-1.8975643	0.0	0.014292615	0.274	5135	tags=52%, list=26%, signal=69%	
