NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_VESICLE_LUMEN	GOCC_VESICLE_LUMEN	Details ...	15	-0.6484157	-1.9235374	0.0021008404	0.052211612	0.11	3950	tags=60%, list=20%, signal=75%	
GOCC_NEURONAL_DENSE_CORE_VESICLE	GOCC_NEURONAL_DENSE_CORE_VESICLE	Details ...	16	-0.6301789	-1.8936272	0.0021413276	0.038392793	0.155	5771	tags=56%, list=29%, signal=79%	
GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	Details ...	17	-0.57239985	-1.7320915	0.0066815144	0.14094625	0.618	5403	tags=59%, list=27%, signal=81%	
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	Details ...	17	-0.56889296	-1.7296457	0.008658009	0.10725112	0.622	5156	tags=53%, list=26%, signal=71%	
GOCC_CHOLINERGIC_SYNAPSE	GOCC_CHOLINERGIC_SYNAPSE	Details ...	16	-0.55707735	-1.6761234	0.015936255	0.13789587	0.78	2853	tags=44%, list=14%, signal=51%	
GOCC_SPERM_PRINCIPAL_PIECE	GOCC_SPERM_PRINCIPAL_PIECE	Details ...	39	-0.4206239	-1.5739648	0.025171624	0.25855154	0.963	3876	tags=33%, list=19%, signal=41%	
GOCC_SODIUM_CHANNEL_COMPLEX	GOCC_SODIUM_CHANNEL_COMPLEX	Details ...	28	-0.44891617	-1.5521336	0.019693654	0.25864884	0.984	5156	tags=39%, list=26%, signal=53%	
GOCC_CONNEXIN_COMPLEX	GOCC_CONNEXIN_COMPLEX	Details ...	20	-0.4874814	-1.5359846	0.039915968	0.25357533	0.99	1926	tags=25%, list=10%, signal=28%	
GOCC_GABA_RECEPTOR_COMPLEX	GOCC_GABA_RECEPTOR_COMPLEX	Details ...	21	-0.4757647	-1.5354884	0.029411765	0.22649252	0.991	5549	tags=57%, list=28%, signal=79%	
GOCC_AXON_INITIAL_SEGMENT	GOCC_AXON_INITIAL_SEGMENT	Details ...	27	-0.4263873	-1.5114764	0.043956045	0.2388994	0.996	5156	tags=37%, list=26%, signal=50%	
GOCC_TERMINAL_BOUTON	GOCC_TERMINAL_BOUTON	Details ...	88	-0.33556306	-1.4870998	0.012787724	0.2577236	1.0	3791	tags=33%, list=19%, signal=41%	
GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE	GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE	Details ...	27	-0.43265206	-1.4805498	0.045161292	0.24709362	1.0	1851	tags=33%, list=9%, signal=37%	
