NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	99	0.7772498	3.366179	0.0	0.0	0.0	1548	tags=68%, list=8%, signal=73%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	45	0.8301942	3.0702899	0.0	0.0	0.0	1445	tags=73%, list=7%, signal=79%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	184	0.6513244	3.061352	0.0	0.0	0.0	1548	tags=43%, list=8%, signal=47%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	219	0.6206264	3.0283656	0.0	0.0	0.0	1894	tags=41%, list=9%, signal=44%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	52	0.767318	2.9133394	0.0	0.0	0.0	1894	tags=73%, list=9%, signal=81%	
GOCC_MYELIN_SHEATH	GOCC_MYELIN_SHEATH	Details ...	213	0.5863336	2.8515022	0.0	0.0	0.0	3428	tags=48%, list=17%, signal=58%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	111	0.64431995	2.837266	0.0	0.0	0.0	1894	tags=43%, list=9%, signal=48%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	78	0.68023217	2.8159542	0.0	0.0	0.0	1445	tags=49%, list=7%, signal=52%	
GOCC_POLYSOMAL_RIBOSOME	GOCC_POLYSOMAL_RIBOSOME	Details ...	32	0.7832392	2.7410045	0.0	0.0	0.0	1739	tags=72%, list=9%, signal=79%	
GOCC_ACTOMYOSIN	GOCC_ACTOMYOSIN	Details ...	95	0.6154876	2.698557	0.0	0.0	0.0	2741	tags=46%, list=14%, signal=53%	
GOCC_LAMELLIPODIUM	GOCC_LAMELLIPODIUM	Details ...	172	0.5780532	2.6911964	0.0	0.0	0.0	4396	tags=48%, list=22%, signal=61%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	127	0.58841765	2.6731496	0.0	0.0	0.0	4166	tags=53%, list=21%, signal=66%	
GOCC_POLYSOME	GOCC_POLYSOME	Details ...	75	0.64082754	2.6277206	0.0	0.0	0.0	2958	tags=56%, list=15%, signal=65%	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	Details ...	95	0.6159229	2.6214206	0.0	0.0	0.0	2839	tags=48%, list=14%, signal=56%	
GOCC_EXTRACELLULAR_EXOSOME	GOCC_EXTRACELLULAR_EXOSOME	Details ...	87	0.61847234	2.6054008	0.0	0.0	0.0	3592	tags=48%, list=18%, signal=59%	
GOCC_NUCLEAR_MATRIX	GOCC_NUCLEAR_MATRIX	Details ...	106	0.59266317	2.599695	0.0	0.0	0.0	3551	tags=50%, list=18%, signal=60%	
GOCC_EXTRACELLULAR_ORGANELLE	GOCC_EXTRACELLULAR_ORGANELLE	Details ...	107	0.5787724	2.5282943	0.0	0.0	0.0	3592	tags=44%, list=18%, signal=53%	
GOCC_PHAGOCYTIC_VESICLE	GOCC_PHAGOCYTIC_VESICLE	Details ...	107	0.5705925	2.5178409	0.0	0.0	0.0	4492	tags=55%, list=23%, signal=71%	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	Details ...	126	0.55954003	2.5073397	0.0	0.0	0.0	4190	tags=50%, list=21%, signal=63%	
GOCC_NUCLEAR_PERIPHERY	GOCC_NUCLEAR_PERIPHERY	Details ...	131	0.5614514	2.5056586	0.0	0.0	0.0	4094	tags=50%, list=21%, signal=63%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX		389	0.48414782	2.4741743	0.0	0.0	0.0	3127	tags=35%, list=16%, signal=41%	
GOCC_RUFFLE	GOCC_RUFFLE		150	0.531953	2.4484835	0.0	0.0	0.0	2990	tags=40%, list=15%, signal=47%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX		273	0.4910106	2.4429283	0.0	0.0	0.0	5300	tags=50%, list=27%, signal=67%	
GOCC_ACTIN_FILAMENT	GOCC_ACTIN_FILAMENT		131	0.5332984	2.4217613	0.0	0.0	0.0	2916	tags=37%, list=15%, signal=43%	
GOCC_CELL_LEADING_EDGE	GOCC_CELL_LEADING_EDGE		405	0.4685866	2.4200568	0.0	0.0	0.0	4396	tags=43%, list=22%, signal=54%	
GOCC_PROTEASOME_COMPLEX	GOCC_PROTEASOME_COMPLEX		63	0.60180384	2.4146342	0.0	0.0	0.0	4301	tags=62%, list=22%, signal=79%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME		83	0.56158125	2.4067905	0.0	0.0	0.0	5133	tags=63%, list=26%, signal=84%	
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	GOCC_COMPLEX_OF_COLLAGEN_TRIMERS		20	0.76618546	2.3878179	0.0	0.0	0.0	711	tags=40%, list=4%, signal=41%	
GOCC_CELL_SUBSTRATE_JUNCTION	GOCC_CELL_SUBSTRATE_JUNCTION		186	0.50191087	2.3851802	0.0	0.0	0.0	4279	tags=45%, list=21%, signal=57%	
GOCC_SPLICEOSOMAL_COMPLEX	GOCC_SPLICEOSOMAL_COMPLEX		192	0.499017	2.3639803	0.0	0.0	0.0	5729	tags=52%, list=29%, signal=72%	
GOCC_NUCLEAR_SPECK	GOCC_NUCLEAR_SPECK		339	0.46425807	2.356234	0.0	0.0	0.0	5397	tags=48%, list=27%, signal=65%	
GOCC_COPI_COATED_VESICLE	GOCC_COPI_COATED_VESICLE		29	0.6976446	2.3531008	0.0	0.0	0.0	3681	tags=69%, list=18%, signal=84%	
GOCC_CELL_CORTEX	GOCC_CELL_CORTEX		302	0.46529427	2.344558	0.0	0.0	0.0	3283	tags=33%, list=16%, signal=39%	
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	GOCC_CATALYTIC_STEP_2_SPLICEOSOME		92	0.5470154	2.3372507	0.0	0.0	0.0	2646	tags=34%, list=13%, signal=39%	
