NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	92	-0.4429009	-2.0200145	0.0	0.11790939	0.281	5475	tags=48%, list=27%, signal=66%	
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	151	-0.40856063	-2.004203	0.0	0.07244985	0.336	5190	tags=46%, list=26%, signal=62%	
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	Details ...	15	-0.6831593	-1.9934323	0.0	0.05643435	0.377	4210	tags=60%, list=21%, signal=76%	
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	Details ...	165	-0.38865548	-1.9331077	0.0	0.0913665	0.64	3703	tags=33%, list=19%, signal=41%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	173	-0.38411197	-1.9090742	0.0	0.09791852	0.749	5192	tags=40%, list=26%, signal=54%	
GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY	GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY	Details ...	17	-0.6286984	-1.9071797	0.0042643924	0.08299043	0.755	1806	tags=29%, list=9%, signal=32%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	Details ...	39	-0.49308926	-1.9059108	0.0	0.07243571	0.763	2619	tags=31%, list=13%, signal=35%	
GOBP_RESPONSE_TO_PHEROMONE	GOBP_RESPONSE_TO_PHEROMONE	Details ...	78	-0.43142515	-1.8948723	0.0	0.07278128	0.808	3862	tags=35%, list=19%, signal=43%	
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	Details ...	15	-0.6525371	-1.8835484	0.0	0.07385354	0.856	3428	tags=60%, list=17%, signal=72%	
GOBP_SPINAL_CORD_PATTERNING	GOBP_SPINAL_CORD_PATTERNING	Details ...	24	-0.5584078	-1.8772836	0.0	0.07062976	0.878	3836	tags=42%, list=19%, signal=52%	
