"","Motro","AM","Neutro","cd64","CD206- IM","CD206+ IM"
"PR8_1_2_ss2_4 | 1 | Full ROI",0.0182306899529261,0.0679228990835911,-0.0679841787136849,-0.0906186457201749,0.0170611242039813,0.00788497217068651
"PR8_1_2_ss2_4 | 10 | Full ROI",0.4349377454667,0.0641374892064288,0.0206790897189494,0.373513272610791,0.370841899413328,0.339630446773304
"PR8_1_2_ss2_4 | 11 | Full ROI",0.4401660120888,0.158237932091028,0.0444639425085652,0.274321049552937,0.370556084841799,0.326570726570726
"PR8_1_2_ss2_4 | 12 | Full ROI",0.362716915963344,0.130765159744854,0.0333221915824072,0.181279073006323,0.359263902121045,0.278418492704207
"PR8_1_2_ss2_4 | 2 | Full ROI",-0.0287345756385616,0.129801398289741,-0.0992952842539205,-0.0885239965460572,0.057854886426315,0.0688010830867974
"PR8_1_2_ss2_4 | 3 | Full ROI",0.429896103172614,0.147346870560709,-0.0285256678086962,0.272504944151973,0.388073509502081,0.368567918567918
"PR8_1_2_ss2_4 | 4 | Full ROI",0.416876967215398,0.19240132586836,0.0555583409932872,0.343505751928916,0.351053001053001,0.300651857794715
"PR8_1_2_ss2_4 | 5 | Full ROI",0.427004818807275,0.114707111222529,-0.0391883234450294,0.273231943399905,0.372153136438851,0.285255478112621
"PR8_1_2_ss2_4 | 6 | Full ROI",0.267725133004652,0.149126765271162,-0.0144675635776162,0.143592100498593,0.302441959584817,0.263699042270471
"PR8_1_2_ss2_4 | 7 | Full ROI",0.449636500376034,0.156240773237514,-0.00300827275006266,0.334700983259519,0.387035551321266,0.291031941031941
"PR8_1_2_ss2_4 | 8 | Full ROI",0.393479290270466,0.12513021921395,-0.0123116347734046,0.298693629703908,0.413523542094971,0.325841147269719
"PR8_1_2_ss2_4 | 9 | Full ROI",0.18605052784045,0.135297066934069,-0.0685886187014289,0.0963677891980724,0.227841849270421,0.199087399087399
"PR8_3_4_ss3_8 | 1 | Full ROI",0.0252444221609426,0.0412857580568787,-0.0329489429263808,-0.0937244087908415,0.113934713934714,0.102885724314296
"PR8_3_4_ss3_8 | 10 | Full ROI",0.416874181777666,0.138330408623715,-0.0316202891284365,0.328169131779059,0.412124554981698,0.273033144461716
"PR8_3_4_ss3_8 | 11 | Full ROI",0.391005821564859,0.169204200440099,-0.0334586780312526,0.303289601960948,0.357446221731936,0.295306623878052
"PR8_3_4_ss3_8 | 12 | Full ROI",0.372797415113785,0.132088242667335,-0.0272666499540403,0.363443915211276,0.422461515318658,0.317341924484782
"PR8_3_4_ss3_8 | 2 | Full ROI",0.0393025263920225,-0.0215899278571627,-0.0230996351076572,-0.106629341801064,0.0996389710675425,0.11539387253673
"PR8_3_4_ss3_8 | 3 | Full ROI",0.0934486504554191,0.101309155733824,-0.0776468622043954,0.0624829391938944,0.216346587775159,0.170523491952063
"PR8_3_4_ss3_8 | 4 | Full ROI",0.30729227598117,0.00460711400796632,-0.00555137739895828,0.239667418734854,0.299714185428471,0.233164518878805
"PR8_3_4_ss3_8 | 5 | Full ROI",0.287468315645804,0.0870170747332943,0.0100944263390992,0.160226734631347,0.26731183874041,0.236814922529208
"PR8_3_4_ss3_8 | 6 | Full ROI",0.195509874376758,0.0789448761872928,-0.0419264087351328,0.113548369126208,0.265860201574487,0.180787745073459
"PR8_3_4_ss3_8 | 7 | Full ROI",0.254324392078215,0.09178574412969,-0.020620595526587,0.128670510570736,0.256854535425964,0.151225994083137
"PR8_3_4_ss3_8 | 8 | Full ROI",0.034544998746553,0.139706414863096,-0.0928915629091112,-0.0251469318403387,0.198839191696335,0.157636764779622
"PR8_3_4_ss3_8 | 9 | Full ROI",0.38496420712515,0.109768530124509,-0.0328403108548508,0.351881563187655,0.340319911748483,0.198438048438048
