"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a6",0,3.17130455116989,0.83,0.215,0
"Ager",0,2.87950372112279,0.993,0.983,0
"Rtkn2",0,2.87341977058417,0.662,0.027,0
"Sdpr",0,2.71378919341657,0.574,0.034,0
"Hopx",0,2.65331368512277,0.691,0.054,0
"Akap5",0,2.63211199204352,0.672,0.067,0
"Sec14l3",0,2.63205602969491,0.75,0.257,0
"Sparc",0,2.60692461679963,0.902,0.68,0
"Krt7",0,2.50243109863716,0.856,0.486,0
"Emp2",0,2.50100808972341,0.918,0.7,0
"Igfbp7",0,2.45775228629945,0.917,0.768,0
"Vegfa",0,2.45129021970855,0.761,0.385,0
"Cryab",0,2.42467039874266,0.837,0.46,0
"Limch1",0,2.40111012447391,0.737,0.298,0
"Malat1",4.35448775743824e-202,2.3307572145473,0.972,0.997,7.26676916961293e-198
"Clic5",0,2.25010764352374,0.634,0.134,0
"Tppp3",8.55464126443654e-211,2.2479444662026,0.65,0.393,1.42759853420917e-206
"Clic3",0,2.24548678696108,0.905,0.682,0
"Pdpn",1.54066926529993e-275,2.2168746607869,0.539,0.099,2.57106886993252e-271
"Pmp22",1.84804169729834e-278,2.20588919904669,0.529,0.103,3.08401198445147e-274
"Cav1",1.95883506513156e-312,2.20410293377859,0.516,0.042,3.26890395669154e-308
"Lmo7",2.02545515172873e-293,2.1713615057437,0.815,0.548,3.38007955720491e-289
"Myo1b",2.2669712820927e-271,2.1633180237603,0.605,0.209,3.78312167555629e-267
"Tuba1a",1.62762711252208e-259,2.11894833595106,0.502,0.07,2.71618412537684e-255
"Col4a3",2.00244806259457e-320,2.11638617653438,0.554,0.072,3.34168532685782e-316
"Col4a4",3.10112006048762e-289,2.10499548571608,0.564,0.119,5.17514915694173e-285
"Tmsb10",6.24177466436221e-204,2.0064909005693,0.779,0.551,1.04162735598877e-199
"Fbln5",2.49104819928287e-249,1.896565800352,0.477,0.078,4.15706123496326e-245
"Hs2st1",6.13882825365761e-234,1.88531053564501,0.611,0.259,1.02444765897038e-229
"Msn",1.87608248551526e-223,1.87138599722811,0.735,0.472,3.13080645182787e-219
"Ndnf",2.34124193921964e-188,1.85276017183877,0.523,0.168,3.90706454816973e-184
"Timp3",6.39378433918251e-194,1.84313468261269,0.719,0.4,1.06699473052278e-189
"Anxa5",1.63385908325699e-208,1.82261357326988,0.81,0.662,2.72658403813927e-204
"Ahnak",1.12495841951697e-187,1.8179484152749,0.675,0.423,1.87733061048992e-183
"Krt19",1.54096691464041e-173,1.81003019380822,0.685,0.384,2.57156558715192e-169
"Cldn18",4.70333927173466e-294,1.79781812561792,0.926,0.888,7.8489325766708e-290
"2200002D01Rik",2.45760185899001e-165,1.74468200947902,0.605,0.266,4.10124598228252e-161
"Qk",4.56553170936946e-187,1.73774607335475,0.6,0.328,7.61895931659575e-183
"Gprc5a",2.87925287449046e-163,1.73462529317005,0.745,0.663,4.80489719694968e-159
"Samhd1",1.17095148719695e-190,1.71938927264854,0.541,0.21,1.95408384183426e-186
"Prdx6",9.92152315964743e-241,1.69775197034257,0.917,0.91,1.65570378488196e-236
"Anxa1",2.52150497264346e-131,1.69034400000935,0.716,0.462,4.20788749834741e-127
"Cyp4b1",4.40357450929005e-164,1.66787844783555,0.34,0.04,7.34868514110324e-160
"Spock2",1.03966735451185e-246,1.63847664238671,0.342,0.008,1.73499688120937e-242
"Crip2",1.69411218965128e-254,1.63274736732383,0.913,0.884,2.82713442209006e-250
"S100a11",8.6802256740149e-183,1.61976689797518,0.961,0.924,1.44855606047961e-178
"Pdgfa",8.23556155908773e-158,1.61313469016816,0.569,0.309,1.37435051298056e-153
"Cyr61",9.63239317712681e-46,1.6099701802508,0.556,0.483,1.60745377339892e-41
"2210011C24Rik",2.51014691511514e-218,1.60092337264951,0.399,0.049,4.18893317194415e-214
