NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CAVEOLA	GOCC_CAVEOLA	Details ...	97	0.53550357	2.2192624	0.0	0.0023430695	0.002	2864	tags=38%, list=14%, signal=44%	
GOCC_LAMELLAR_BODY	GOCC_LAMELLAR_BODY	Details ...	16	0.7750318	2.1792057	0.0	0.0017969586	0.003	1307	tags=56%, list=7%, signal=60%	
GOCC_APICOLATERAL_PLASMA_MEMBRANE	GOCC_APICOLATERAL_PLASMA_MEMBRANE	Details ...	25	0.6799049	2.1176455	0.0	0.0031281468	0.008	2225	tags=44%, list=11%, signal=49%	
GOCC_TIGHT_JUNCTION	GOCC_TIGHT_JUNCTION	Details ...	145	0.47668034	2.1165817	0.0	0.0023461098	0.008	3180	tags=32%, list=16%, signal=37%	
GOCC_APICAL_JUNCTION_COMPLEX	GOCC_APICAL_JUNCTION_COMPLEX	Details ...	161	0.46323705	2.1104126	0.0	0.001876888	0.008	3180	tags=31%, list=16%, signal=37%	
GOCC_ADHERENS_JUNCTION	GOCC_ADHERENS_JUNCTION	Details ...	142	0.4792717	2.1045926	0.0	0.0017544758	0.009	2984	tags=33%, list=15%, signal=39%	
GOCC_LATERAL_PLASMA_MEMBRANE	GOCC_LATERAL_PLASMA_MEMBRANE	Details ...	67	0.529726	2.0861607	0.0	0.0025008114	0.015	4722	tags=51%, list=24%, signal=66%	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	Details ...	95	0.47426066	1.9919167	0.0	0.008232927	0.056	3781	tags=38%, list=19%, signal=47%	
GOCC_MULTIVESICULAR_BODY	GOCC_MULTIVESICULAR_BODY	Details ...	65	0.49315292	1.912453	0.001607717	0.020363675	0.145	3196	tags=34%, list=16%, signal=40%	
GOCC_ACTOMYOSIN	GOCC_ACTOMYOSIN	Details ...	95	0.46367815	1.9095801	0.0	0.018903732	0.149	3781	tags=37%, list=19%, signal=45%	
GOCC_MYOSIN_II_COMPLEX	GOCC_MYOSIN_II_COMPLEX	Details ...	26	0.590658	1.906421	0.0033783785	0.017489666	0.152	2367	tags=38%, list=12%, signal=44%	
GOCC_APICAL_PART_OF_CELL	GOCC_APICAL_PART_OF_CELL	Details ...	478	0.37470764	1.8938987	0.0	0.0184861	0.176	4346	tags=33%, list=22%, signal=41%	
GOCC_BASEMENT_MEMBRANE	GOCC_BASEMENT_MEMBRANE	Details ...	118	0.4329928	1.8540014	0.0	0.027047452	0.259	4531	tags=42%, list=23%, signal=53%	
GOCC_ROUGH_ENDOPLASMIC_RETICULUM	GOCC_ROUGH_ENDOPLASMIC_RETICULUM	Details ...	86	0.44904765	1.8523635	0.0	0.025610065	0.264	2835	tags=31%, list=14%, signal=36%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	389	0.36695388	1.8211038	0.0	0.03339811	0.344	3731	tags=31%, list=19%, signal=37%	
