NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_ODORANT_BINDING	GOMF_ODORANT_BINDING	Details ...	401	-0.44239318	-2.2853758	0.0	0.001496855	0.002	6916	tags=57%, list=35%, signal=86%	
GOMF_MONOOXYGENASE_ACTIVITY	GOMF_MONOOXYGENASE_ACTIVITY	Details ...	131	-0.4474122	-2.048833	0.0	0.014226098	0.038	3955	tags=37%, list=20%, signal=46%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	Details ...	59	-0.5214205	-2.0145402	0.0	0.016011229	0.063	3955	tags=41%, list=20%, signal=51%	
GOMF_BMP_BINDING	GOMF_BMP_BINDING	Details ...	21	-0.62120754	-1.8951854	0.0	0.047905155	0.225	4240	tags=52%, list=21%, signal=66%	
GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY	GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY	Details ...	28	-0.56347924	-1.8620269	0.005859375	0.057587307	0.318	1575	tags=36%, list=8%, signal=39%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN	Details ...	209	-0.377718	-1.8463376	0.0	0.05761363	0.376	3955	tags=32%, list=20%, signal=40%	
GOMF_STEROID_HYDROXYLASE_ACTIVITY	GOMF_STEROID_HYDROXYLASE_ACTIVITY	Details ...	55	-0.47171566	-1.8093348	0.0	0.07548077	0.507	4263	tags=42%, list=21%, signal=53%	
GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	Details ...	19	-0.6078038	-1.7871817	0.006024096	0.085700735	0.623	2210	tags=37%, list=11%, signal=41%	
GOMF_FLIPPASE_ACTIVITY	GOMF_FLIPPASE_ACTIVITY	Details ...	17	-0.60632014	-1.7697345	0.011450382	0.09081261	0.686	3642	tags=65%, list=18%, signal=79%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	Details ...	59	-0.44325316	-1.7676206	0.0021231424	0.08450688	0.693	3910	tags=37%, list=20%, signal=46%	
GOMF_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	GOMF_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	Details ...	23	-0.5564751	-1.7534965	0.010683761	0.088449866	0.739	2711	tags=48%, list=14%, signal=55%	
GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	Details ...	95	-0.4074634	-1.7347963	0.0020618557	0.101032645	0.816	4105	tags=38%, list=21%, signal=47%	
GOMF_RETINAL_BINDING	GOMF_RETINAL_BINDING	Details ...	17	-0.58189255	-1.7192222	0.012244898	0.109417	0.864	6338	tags=65%, list=32%, signal=95%	
GOMF_EPHRIN_RECEPTOR_ACTIVITY	GOMF_EPHRIN_RECEPTOR_ACTIVITY	Details ...	16	-0.59075844	-1.7151496	0.009433962	0.10584482	0.873	6794	tags=69%, list=34%, signal=104%	
GOMF_CHEMOREPELLENT_ACTIVITY	GOMF_CHEMOREPELLENT_ACTIVITY	Details ...	29	-0.501875	-1.6935105	0.012024048	0.12027939	0.912	2791	tags=38%, list=14%, signal=44%	
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	156	-0.36083162	-1.6836272	0.0	0.12264861	0.93	4105	tags=32%, list=21%, signal=40%	
GOMF_LIGAND_GATED_CHANNEL_ACTIVITY	GOMF_LIGAND_GATED_CHANNEL_ACTIVITY	Details ...	139	-0.3646468	-1.6678556	0.0	0.13333914	0.948	4450	tags=35%, list=22%, signal=44%	
GOMF_BICARBONATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_BICARBONATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	21	-0.54972	-1.6618654	0.018442623	0.13291197	0.963	5342	tags=52%, list=27%, signal=71%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	Details ...	52	-0.4233213	-1.6612242	0.007984032	0.12682228	0.963	2210	tags=25%, list=11%, signal=28%	
GOMF_CARBONATE_DEHYDRATASE_ACTIVITY	GOMF_CARBONATE_DEHYDRATASE_ACTIVITY	Details ...	16	-0.572759	-1.6521933	0.016853932	0.13106711	0.971	3913	tags=50%, list=20%, signal=62%	
GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS	GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS		34	-0.47831622	-1.6516281	0.007968128	0.12553883	0.971	4844	tags=47%, list=24%, signal=62%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS		63	-0.4178533	-1.649256	0.0021097045	0.122762956	0.975	2210	tags=24%, list=11%, signal=27%	
GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY		105	-0.38268483	-1.6480888	0.0021231424	0.11868831	0.976	4450	tags=36%, list=22%, signal=46%	
GOMF_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		15	-0.57800037	-1.6427264	0.009633912	0.11961276	0.982	3431	tags=33%, list=17%, signal=40%	
GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY	GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY		33	-0.47664654	-1.6363978	0.019011406	0.12062706	0.985	7894	tags=73%, list=40%, signal=120%	
GOMF_ANDROSTERONE_DEHYDROGENASE_ACTIVITY	GOMF_ANDROSTERONE_DEHYDROGENASE_ACTIVITY		16	-0.57789487	-1.6299273	0.016032064	0.122506104	0.989	1575	tags=38%, list=8%, signal=41%	
GOMF_PHEROMONE_BINDING	GOMF_PHEROMONE_BINDING		64	-0.41056374	-1.625607	0.004166667	0.12231407	0.991	6916	tags=55%, list=35%, signal=83%	
GOMF_PHEROMONE_RECEPTOR_ACTIVITY	GOMF_PHEROMONE_RECEPTOR_ACTIVITY		73	-0.38775584	-1.5994297	0.0019646366	0.14662223	0.999	6916	tags=53%, list=35%, signal=81%	
GOMF_TASTE_RECEPTOR_ACTIVITY	GOMF_TASTE_RECEPTOR_ACTIVITY		39	-0.44769558	-1.5945215	0.009615385	0.14713532	0.999	7894	tags=67%, list=40%, signal=110%	
GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY	GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY		22	-0.5071632	-1.5909468	0.016260162	0.14683247	0.999	6357	tags=64%, list=32%, signal=93%	
