NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	Details ...	15	-0.6831593	-1.6876261	0.006451613	1.0	0.958	4210	tags=60%, list=21%, signal=76%	
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	Details ...	15	-0.6525371	-1.6730338	0.020408163	1.0	0.973	3428	tags=60%, list=17%, signal=72%	
GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY	GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY	Details ...	17	-0.6286984	-1.6380149	0.010460251	1.0	0.988	1806	tags=29%, list=9%, signal=32%	
GOBP_PIRNA_PROCESSING	GOBP_PIRNA_PROCESSING	Details ...	21	-0.54366726	-1.626715	0.01026694	1.0	0.992	5138	tags=48%, list=26%, signal=64%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	Details ...	39	-0.49308926	-1.6155949	0.004115226	1.0	0.995	2619	tags=31%, list=13%, signal=35%	
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	Details ...	45	-0.46575812	-1.6115795	0.0041753654	1.0	0.995	3991	tags=38%, list=20%, signal=47%	
GOBP_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	22	-0.52065367	-1.6054457	0.021978023	1.0	0.996	3215	tags=41%, list=16%, signal=49%	
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	18	-0.5839179	-1.5881745	0.029082773	1.0	0.996	3215	tags=50%, list=16%, signal=60%	
GOBP_SPINAL_CORD_PATTERNING	GOBP_SPINAL_CORD_PATTERNING	Details ...	24	-0.5584078	-1.5760586	0.025263159	1.0	0.998	3836	tags=42%, list=19%, signal=52%	
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	Details ...	19	-0.5817252	-1.5676227	0.034623217	1.0	0.998	2870	tags=42%, list=14%, signal=49%	
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND	GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND	Details ...	22	-0.51982397	-1.5607328	0.019313306	1.0	1.0	4847	tags=55%, list=24%, signal=72%	
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	Details ...	16	-0.5736019	-1.5573992	0.048523206	0.9889216	1.0	3263	tags=50%, list=16%, signal=60%	
GOBP_REGULATION_OF_FEEDING_BEHAVIOR	GOBP_REGULATION_OF_FEEDING_BEHAVIOR	Details ...	43	-0.4750184	-1.5453552	0.012931035	1.0	1.0	2604	tags=37%, list=13%, signal=43%	
GOBP_XENOBIOTIC_CATABOLIC_PROCESS	GOBP_XENOBIOTIC_CATABOLIC_PROCESS	Details ...	28	-0.40714327	-1.5429782	0.007125891	0.96444577	1.0	5623	tags=39%, list=28%, signal=55%	
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	Details ...	165	-0.38865548	-1.5326629	0.002096436	0.9825355	1.0	3703	tags=33%, list=19%, signal=41%	
GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	Details ...	15	-0.56082964	-1.5293261	0.055900622	0.947929	1.0	3264	tags=40%, list=16%, signal=48%	
GOBP_DETECTION_OF_VISIBLE_LIGHT	GOBP_DETECTION_OF_VISIBLE_LIGHT	Details ...	33	-0.45974052	-1.5290055	0.014613778	0.8947517	1.0	3858	tags=39%, list=19%, signal=49%	
GOBP_ERBB2_SIGNALING_PATHWAY	GOBP_ERBB2_SIGNALING_PATHWAY	Details ...	15	-0.5190554	-1.5225087	0.047311828	0.89284664	1.0	3450	tags=40%, list=17%, signal=48%	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	26	-0.47503027	-1.5184622	0.033407573	0.8751713	1.0	3875	tags=50%, list=19%, signal=62%	
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	151	-0.40856063	-1.5179073	0.004405286	0.8350969	1.0	5190	tags=46%, list=26%, signal=62%	
GOBP_PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP_PHOTORECEPTOR_CELL_DEVELOPMENT		57	-0.43174145	-1.5158565	0.034782607	0.80952454	1.0	3703	tags=37%, list=19%, signal=45%	
GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT		40	-0.43519956	-1.506519	0.024886878	0.83474255	1.0	3703	tags=40%, list=19%, signal=49%	
GOBP_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION		24	-0.50647634	-1.4978595	0.030549899	0.8557202	1.0	5037	tags=50%, list=25%, signal=67%	
GOBP_REGULATION_OF_LACTATION	GOBP_REGULATION_OF_LACTATION		23	-0.5213357	-1.4969393	0.09051724	0.8259365	1.0	3861	tags=52%, list=19%, signal=65%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP		16	-0.5044896	-1.4906819	0.013539651	0.8334028	1.0	2198	tags=25%, list=11%, signal=28%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY		173	-0.38411197	-1.4903564	0.010438413	0.8031829	1.0	5192	tags=40%, list=26%, signal=54%	
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER		25	-0.49979466	-1.4855846	0.066945605	0.80321664	1.0	3811	tags=44%, list=19%, signal=54%	
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION	GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION		19	-0.52617705	-1.4852635	0.021367522	0.7766834	1.0	1929	tags=26%, list=10%, signal=29%	
GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE	GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE		26	-0.51262	-1.4811388	0.048672568	0.77399886	1.0	2883	tags=35%, list=14%, signal=40%	
GOBP_PROGESTERONE_METABOLIC_PROCESS	GOBP_PROGESTERONE_METABOLIC_PROCESS		19	-0.52567387	-1.4749995	0.060416665	0.7834392	1.0	6162	tags=68%, list=31%, signal=99%	
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY		15	-0.6321589	-1.4728119	0.054393306	0.7711019	1.0	3263	tags=47%, list=16%, signal=56%	
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING	GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING		16	-0.53254676	-1.4694778	0.06306306	0.7657103	1.0	5839	tags=69%, list=29%, signal=97%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_PROCESS	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_PROCESS		34	-0.4620877	-1.4682279	0.03448276	0.7493727	1.0	2619	tags=26%, list=13%, signal=30%	
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		38	-0.40521225	-1.4682016	0.02660754	0.72745824	1.0	2540	tags=26%, list=13%, signal=30%	
GOBP_RETINOIC_ACID_METABOLIC_PROCESS	GOBP_RETINOIC_ACID_METABOLIC_PROCESS		29	-0.46680796	-1.4675239	0.057082452	0.71087605	1.0	5337	tags=55%, list=27%, signal=75%	
GOBP_REGULATION_OF_INTESTINAL_ABSORPTION	GOBP_REGULATION_OF_INTESTINAL_ABSORPTION		17	-0.54687446	-1.4667063	0.07061503	0.6950687	1.0	3047	tags=47%, list=15%, signal=55%	
GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION		18	-0.5164441	-1.4553156	0.05869565	0.7371705	1.0	3434	tags=33%, list=17%, signal=40%	
