NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	152	0.6963026	3.2011986	0.0	0.0	0.0	1894	tags=52%, list=9%, signal=57%	
GOMF_MRNA_BINDING	GOMF_MRNA_BINDING	Details ...	320	0.5241392	2.6349757	0.0	0.0	0.0	3282	tags=40%, list=16%, signal=47%	
GOMF_EXTRACELLULAR_MATRIX_BINDING	GOMF_EXTRACELLULAR_MATRIX_BINDING	Details ...	57	0.6621734	2.58774	0.0	0.0	0.0	2249	tags=46%, list=11%, signal=51%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	Details ...	149	0.554194	2.579196	0.0	0.0	0.0	2419	tags=34%, list=12%, signal=39%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH	Details ...	38	0.71555597	2.5632126	0.0	0.0	0.0	711	tags=29%, list=4%, signal=30%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	Details ...	73	0.62394994	2.5612319	0.0	0.0	0.0	2531	tags=47%, list=13%, signal=53%	
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	Details ...	160	0.5303916	2.4774942	0.0	1.7757298E-4	0.001	4462	tags=45%, list=22%, signal=57%	
GOMF_INTEGRIN_BINDING	GOMF_INTEGRIN_BINDING	Details ...	153	0.53216755	2.4638362	0.0	1.5537634E-4	0.001	2367	tags=38%, list=12%, signal=43%	
GOMF_GROWTH_FACTOR_BINDING	GOMF_GROWTH_FACTOR_BINDING	Details ...	149	0.53545326	2.4619336	0.0	1.3811231E-4	0.001	4238	tags=42%, list=21%, signal=53%	
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	Details ...	325	0.479329	2.4228373	0.0	1.2430108E-4	0.001	3961	tags=40%, list=20%, signal=49%	
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	Details ...	65	0.5972466	2.3961759	0.0	1.1300099E-4	0.001	2261	tags=35%, list=11%, signal=40%	
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	Details ...	75	0.5720932	2.374923	0.0	1.03584236E-4	0.001	2429	tags=39%, list=12%, signal=44%	
GOMF_DISORDERED_DOMAIN_SPECIFIC_BINDING	GOMF_DISORDERED_DOMAIN_SPECIFIC_BINDING	Details ...	37	0.66574883	2.372499	0.0	9.561622E-5	0.001	4121	tags=62%, list=21%, signal=78%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	Details ...	93	0.5524431	2.3688357	0.0	8.878649E-5	0.001	2429	tags=39%, list=12%, signal=44%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY	GOMF_TRANSLATION_REGULATOR_ACTIVITY	Details ...	127	0.5220902	2.3379455	0.0	8.286739E-5	0.001	2429	tags=35%, list=12%, signal=40%	
GOMF_PROTEIN_N_TERMINUS_BINDING	GOMF_PROTEIN_N_TERMINUS_BINDING	Details ...	133	0.5163274	2.3370864	0.0	7.768817E-5	0.001	4325	tags=50%, list=22%, signal=64%	
GOMF_MRNA_3_UTR_BINDING	GOMF_MRNA_3_UTR_BINDING	Details ...	101	0.5357587	2.3342195	0.0	7.311828E-5	0.001	3354	tags=42%, list=17%, signal=50%	
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	Details ...	47	0.6185005	2.3326325	0.0	6.905616E-5	0.001	2429	tags=49%, list=12%, signal=56%	
GOMF_GTPASE_BINDING	GOMF_GTPASE_BINDING	Details ...	321	0.4535113	2.3017237	0.0	6.542162E-5	0.001	4336	tags=37%, list=22%, signal=47%	
GOMF_UNFOLDED_PROTEIN_BINDING	GOMF_UNFOLDED_PROTEIN_BINDING	Details ...	88	0.54020923	2.2902215	0.0	6.215054E-5	0.001	3424	tags=39%, list=17%, signal=46%	
GOMF_ELECTRON_TRANSFER_ACTIVITY	GOMF_ELECTRON_TRANSFER_ACTIVITY		58	0.5809119	2.2867606	0.0	1.1677218E-4	0.002	3744	tags=48%, list=19%, signal=59%	
GOMF_NUCLEAR_RECEPTOR_COACTIVATOR_ACTIVITY	GOMF_NUCLEAR_RECEPTOR_COACTIVATOR_ACTIVITY		51	0.60061944	2.2856212	0.0	1.1146435E-4	0.002	4069	tags=51%, list=20%, signal=64%	
GOMF_PROTEASE_BINDING	GOMF_PROTEASE_BINDING		168	0.4844783	2.2789955	0.0	1.0661807E-4	0.002	3633	tags=38%, list=18%, signal=46%	
