NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	138	0.7419035	3.3760505	0.0	0.0	0.0	1988	tags=59%, list=10%, signal=65%	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	47	0.84382343	3.1645627	0.0	0.0	0.0	1717	tags=85%, list=9%, signal=93%	
GOBP_TISSUE_MIGRATION	GOBP_TISSUE_MIGRATION	Details ...	326	0.5253737	2.6310837	0.0	0.0	0.0	2489	tags=34%, list=12%, signal=38%	
GOBP_ENDOTHELIAL_CELL_MIGRATION	GOBP_ENDOTHELIAL_CELL_MIGRATION	Details ...	225	0.5415415	2.6144311	0.0	0.0	0.0	4325	tags=49%, list=22%, signal=62%	
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION	GOBP_MAINTENANCE_OF_PROTEIN_LOCATION	Details ...	101	0.6016846	2.6071098	0.0	0.0	0.0	4369	tags=59%, list=22%, signal=76%	
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	Details ...	245	0.5261212	2.6014357	0.0	0.0	0.0	4365	tags=44%, list=22%, signal=56%	
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	Details ...	44	0.6983725	2.595479	0.0	0.0	0.0	4292	tags=68%, list=21%, signal=87%	
GOBP_POSITIVE_REGULATION_OF_BINDING	GOBP_POSITIVE_REGULATION_OF_BINDING	Details ...	198	0.54162085	2.592367	0.0	0.0	0.0	3921	tags=46%, list=20%, signal=57%	
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Details ...	60	0.66085553	2.5793831	0.0	0.0	0.0	3637	tags=55%, list=18%, signal=67%	
GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING	Details ...	175	0.5465975	2.5785146	0.0	0.0	0.0	3875	tags=47%, list=19%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	Details ...	186	0.54142964	2.5757687	0.0	0.0	0.0	4183	tags=45%, list=21%, signal=57%	
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	Details ...	161	0.5464049	2.5670369	0.0	0.0	0.0	2311	tags=32%, list=12%, signal=36%	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	Details ...	464	0.4861208	2.5613832	0.0	0.0	0.0	2521	tags=32%, list=13%, signal=36%	
GOBP_PROTEIN_STABILIZATION	GOBP_PROTEIN_STABILIZATION	Details ...	194	0.5398863	2.5524988	0.0	0.0	0.0	3933	tags=49%, list=20%, signal=60%	
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	Details ...	105	0.5742438	2.5476804	0.0	0.0	0.0	3207	tags=46%, list=16%, signal=54%	
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	Details ...	173	0.54224896	2.5364683	0.0	0.0	0.0	4325	tags=48%, list=22%, signal=61%	
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION	Details ...	129	0.56193596	2.5331903	0.0	0.0	0.0	4010	tags=48%, list=20%, signal=60%	
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	Details ...	244	0.5076223	2.5066116	0.0	0.0	0.0	4068	tags=44%, list=20%, signal=55%	
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	Details ...	389	0.48551753	2.5044425	0.0	0.0	0.0	4257	tags=43%, list=21%, signal=54%	
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	Details ...	110	0.5630644	2.4980352	0.0	0.0	0.0	4424	tags=53%, list=22%, signal=67%	
GOBP_REGULATION_OF_BINDING	GOBP_REGULATION_OF_BINDING		406	0.4838644	2.4944208	0.0	0.0	0.0	3932	tags=40%, list=20%, signal=49%	
GOBP_GOLGI_VESICLE_TRANSPORT	GOBP_GOLGI_VESICLE_TRANSPORT		278	0.4998006	2.493831	0.0	0.0	0.0	4666	tags=47%, list=23%, signal=61%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING		104	0.56930506	2.4937155	0.0	0.0	0.0	3151	tags=44%, list=16%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT		144	0.5423958	2.4878957	0.0	0.0	0.0	4170	tags=45%, list=21%, signal=57%	
GOBP_REGULATION_OF_PROTEIN_STABILITY	GOBP_REGULATION_OF_PROTEIN_STABILITY		307	0.49748075	2.487576	0.0	0.0	0.0	3933	tags=43%, list=20%, signal=53%	
