NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_HOMOLOGOUS_RECOMBINATION	GOBP_HOMOLOGOUS_RECOMBINATION	Details ...	61	-0.52902156	-2.146885	0.0	0.012037644	0.032	5217	tags=57%, list=26%, signal=77%	
GOBP_VITAMIN_CATABOLIC_PROCESS	GOBP_VITAMIN_CATABOLIC_PROCESS	Details ...	17	-0.6752266	-2.003896	0.0	0.06701441	0.305	2416	tags=53%, list=12%, signal=60%	
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION	GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION	Details ...	19	-0.6431068	-1.9953954	0.0	0.050164837	0.338	4612	tags=53%, list=23%, signal=68%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	Details ...	52	-0.4846342	-1.9645038	0.0	0.055705335	0.462	5841	tags=46%, list=29%, signal=65%	
GOBP_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT	GOBP_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT	Details ...	23	-0.5805268	-1.9180889	0.0	0.07866101	0.659	4612	tags=48%, list=23%, signal=62%	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	Details ...	35	-0.527767	-1.9072278	0.0	0.07514282	0.703	3556	tags=46%, list=18%, signal=56%	
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	176	-0.39109007	-1.9062182	0.0	0.06489136	0.706	5841	tags=42%, list=29%, signal=59%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	216	-0.37697303	-1.9029397	0.0	0.059452906	0.72	4378	tags=33%, list=22%, signal=42%	
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	89	-0.4317904	-1.8910825	0.0	0.060573485	0.774	5886	tags=43%, list=29%, signal=60%	
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	Details ...	60	-0.46305135	-1.8839004	0.0	0.059439316	0.807	5323	tags=45%, list=27%, signal=61%	
GOBP_SPERM_MOTILITY	GOBP_SPERM_MOTILITY	Details ...	157	-0.38881108	-1.8796381	0.0	0.056490015	0.819	4378	tags=35%, list=22%, signal=45%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	172	-0.3841206	-1.8763824	0.0	0.05384629	0.831	4378	tags=34%, list=22%, signal=44%	
GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT	GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT	Details ...	30	-0.5217832	-1.8345377	0.0023255814	0.07811136	0.931	4039	tags=43%, list=20%, signal=54%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	90	-0.41384935	-1.8250511	0.0	0.07980258	0.945	5632	tags=40%, list=28%, signal=55%	
GOBP_OUTER_DYNEIN_ARM_ASSEMBLY	GOBP_OUTER_DYNEIN_ARM_ASSEMBLY	Details ...	22	-0.5681203	-1.8219676	0.0	0.07661908	0.951	3439	tags=50%, list=17%, signal=60%	
GOBP_PSEUDOURIDINE_SYNTHESIS	GOBP_PSEUDOURIDINE_SYNTHESIS	Details ...	18	-0.6130762	-1.8133724	0.0021231424	0.079030655	0.965	2892	tags=44%, list=14%, signal=52%	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	Details ...	46	-0.46688235	-1.8065034	0.0047393367	0.07972437	0.973	3873	tags=39%, list=19%, signal=48%	
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	Details ...	137	-0.3756144	-1.7942592	0.0	0.08499895	0.982	5469	tags=48%, list=27%, signal=66%	
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	Details ...	58	-0.4421153	-1.781755	0.0	0.09153906	0.985	5038	tags=52%, list=25%, signal=69%	
GOBP_TERPENOID_METABOLIC_PROCESS	GOBP_TERPENOID_METABOLIC_PROCESS	Details ...	75	-0.41075775	-1.7360625	0.0	0.1366039	1.0	2416	tags=28%, list=12%, signal=32%	
GOBP_BRANCHING_INVOLVED_IN_PROSTATE_GLAND_MORPHOGENESIS	GOBP_BRANCHING_INVOLVED_IN_PROSTATE_GLAND_MORPHOGENESIS		15	-0.5798034	-1.7118964	0.0020876827	0.16149291	1.0	1878	tags=33%, list=9%, signal=37%	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY		90	-0.38674554	-1.6929339	0.0	0.18321975	1.0	2630	tags=27%, list=13%, signal=31%	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES		17	-0.5638268	-1.6732441	0.0064794817	0.20842306	1.0	4781	tags=71%, list=24%, signal=93%	
GOBP_CELL_PROLIFERATION_IN_HINDBRAIN	GOBP_CELL_PROLIFERATION_IN_HINDBRAIN		20	-0.54310775	-1.6665571	0.014583333	0.2112412	1.0	2658	tags=25%, list=13%, signal=29%	
GOBP_MICROTUBULE_BUNDLE_FORMATION	GOBP_MICROTUBULE_BUNDLE_FORMATION		123	-0.3566368	-1.6662112	0.0	0.20333426	1.0	3556	tags=28%, list=18%, signal=33%	
GOBP_REGULATION_OF_LACTATION	GOBP_REGULATION_OF_LACTATION		23	-0.517097	-1.663273	0.015151516	0.20018762	1.0	6029	tags=65%, list=30%, signal=93%	
GOBP_RETINOIC_ACID_METABOLIC_PROCESS	GOBP_RETINOIC_ACID_METABOLIC_PROCESS		28	-0.48968604	-1.6438816	0.006637168	0.22662835	1.0	4819	tags=46%, list=24%, signal=61%	
GOBP_EPOXYGENASE_P450_PATHWAY	GOBP_EPOXYGENASE_P450_PATHWAY		27	-0.47719562	-1.6260165	0.01826484	0.25308862	1.0	3624	tags=44%, list=18%, signal=54%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP		15	-0.56740445	-1.6199602	0.026490066	0.25619882	1.0	2544	tags=33%, list=13%, signal=38%	
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND	GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND		22	-0.49340925	-1.6182019	0.019565217	0.25127515	1.0	5434	tags=59%, list=27%, signal=81%	
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	GOBP_MEIOTIC_CHROMOSOME_SEGREGATION		103	-0.3588777	-1.6155974	0.0026041667	0.24848051	1.0	4781	tags=40%, list=24%, signal=52%	
GOBP_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT		19	-0.52266896	-1.6005696	0.02396514	0.2719795	1.0	3949	tags=37%, list=20%, signal=46%	
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY		15	-0.5644662	-1.5949445	0.01871102	0.2764481	1.0	5021	tags=60%, list=25%, signal=80%	
GOBP_MITOCHONDRIAL_DNA_REPLICATION	GOBP_MITOCHONDRIAL_DNA_REPLICATION		17	-0.5351174	-1.5923055	0.027777778	0.2737057	1.0	5496	tags=65%, list=28%, signal=89%	
GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION		20	-0.50610614	-1.5861826	0.020408163	0.27887103	1.0	1591	tags=25%, list=8%, signal=27%	
GOBP_EXTRACELLULAR_TRANSPORT	GOBP_EXTRACELLULAR_TRANSPORT		47	-0.40711853	-1.5826812	0.019277109	0.27849725	1.0	4378	tags=36%, list=22%, signal=46%	
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS		55	-0.39363104	-1.573821	0.0074257427	0.28996053	1.0	4781	tags=40%, list=24%, signal=52%	
GOBP_NEGATIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_AMINO_ACID_TRANSPORT		19	-0.5120215	-1.5729537	0.03125	0.2840772	1.0	5152	tags=42%, list=26%, signal=57%	
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS	GOBP_LINOLEIC_ACID_METABOLIC_PROCESS		26	-0.4664732	-1.567011	0.027896997	0.28949246	1.0	5824	tags=50%, list=29%, signal=71%	
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS		39	-0.42149454	-1.5637516	0.026785715	0.28912485	1.0	2416	tags=28%, list=12%, signal=32%	
GOBP_MEIOTIC_CHROMOSOME_SEPARATION	GOBP_MEIOTIC_CHROMOSOME_SEPARATION		27	-0.46295378	-1.5551906	0.01986755	0.30131856	1.0	4781	tags=56%, list=24%, signal=73%	
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY		23	-0.48564687	-1.5550694	0.027484143	0.29439476	1.0	2212	tags=30%, list=11%, signal=34%	
