NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	99	0.78116107	3.2155795	0.0	0.0	0.0	1806	tags=59%, list=9%, signal=64%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	45	0.8108131	2.9546995	0.0	0.0	0.0	2110	tags=67%, list=11%, signal=74%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	184	0.6437827	2.918838	0.0	0.0	0.0	2110	tags=38%, list=11%, signal=42%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	52	0.77193075	2.8693106	0.0	0.0	0.0	1607	tags=56%, list=8%, signal=60%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	219	0.6130995	2.8452227	0.0	0.0	0.0	2110	tags=34%, list=11%, signal=38%	
GOCC_POLYSOMAL_RIBOSOME	GOCC_POLYSOMAL_RIBOSOME	Details ...	32	0.8246302	2.7207673	0.0	0.0	0.0	1173	tags=63%, list=6%, signal=66%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	78	0.6847606	2.7010422	0.0	0.0	0.0	1806	tags=41%, list=9%, signal=45%	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	Details ...	95	0.65340686	2.6950252	0.0	0.0	0.0	2036	tags=40%, list=10%, signal=44%	
GOCC_POLYSOME	GOCC_POLYSOME	Details ...	75	0.6756062	2.6834004	0.0	0.0	0.0	2068	tags=45%, list=10%, signal=50%	
GOCC_PHAGOCYTIC_VESICLE	GOCC_PHAGOCYTIC_VESICLE	Details ...	107	0.63876957	2.6594896	0.0	0.0	0.0	2872	tags=45%, list=14%, signal=52%	
GOCC_MYELIN_SHEATH	GOCC_MYELIN_SHEATH	Details ...	213	0.5655573	2.6083748	0.0	0.0	0.0	4095	tags=52%, list=21%, signal=64%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	111	0.61340827	2.604333	0.0	0.0	0.0	2614	tags=37%, list=13%, signal=42%	
GOCC_LAMELLIPODIUM	GOCC_LAMELLIPODIUM	Details ...	172	0.56893605	2.5579093	0.0	0.0	0.0	3756	tags=44%, list=19%, signal=54%	
GOCC_CORTICAL_CYTOSKELETON	GOCC_CORTICAL_CYTOSKELETON	Details ...	120	0.59813225	2.556488	0.0	0.0	0.0	2388	tags=38%, list=12%, signal=43%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	127	0.5842934	2.5440307	0.0	0.0	0.0	2521	tags=40%, list=13%, signal=46%	
GOCC_RUFFLE	GOCC_RUFFLE	Details ...	150	0.5710257	2.5385087	0.0	0.0	0.0	2352	tags=37%, list=12%, signal=42%	
GOCC_CORTICAL_ACTIN_CYTOSKELETON	GOCC_CORTICAL_ACTIN_CYTOSKELETON	Details ...	85	0.6299354	2.5377119	0.0	0.0	0.0	1916	tags=40%, list=10%, signal=44%	
GOCC_ENDOCYTIC_VESICLE	GOCC_ENDOCYTIC_VESICLE	Details ...	207	0.55025107	2.5266685	0.0	0.0	0.0	2893	tags=35%, list=14%, signal=40%	
GOCC_ACTOMYOSIN	GOCC_ACTOMYOSIN	Details ...	95	0.62501943	2.5125024	0.0	0.0	0.0	3144	tags=44%, list=16%, signal=52%	
GOCC_CAVEOLA	GOCC_CAVEOLA	Details ...	97	0.5883488	2.4361312	0.0	0.0	0.0	2957	tags=42%, list=15%, signal=49%	
GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX		18	0.8188352	2.415078	0.0	0.0	0.0	1255	tags=56%, list=6%, signal=59%	
GOCC_CELL_LEADING_EDGE	GOCC_CELL_LEADING_EDGE		405	0.4950666	2.4126656	0.0	0.0	0.0	2352	tags=31%, list=12%, signal=34%	
GOCC_PROTEASOME_COMPLEX	GOCC_PROTEASOME_COMPLEX		63	0.6255548	2.3939085	0.0	0.0	0.0	3407	tags=54%, list=17%, signal=65%	
GOCC_CELL_CORTEX	GOCC_CELL_CORTEX		302	0.4958654	2.3928459	0.0	0.0	0.0	3824	tags=40%, list=19%, signal=49%	
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	GOCC_PHAGOCYTIC_VESICLE_MEMBRANE		23	0.75266296	2.3530264	0.0	0.0	0.0	1937	tags=48%, list=10%, signal=53%	
GOCC_PODOSOME	GOCC_PODOSOME		26	0.7410549	2.3483243	0.0	0.0	0.0	2098	tags=65%, list=11%, signal=73%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME		83	0.5804812	2.3374324	0.0	0.0	0.0	4543	tags=60%, list=23%, signal=78%	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX		126	0.54481196	2.331227	0.0	0.0	0.0	3286	tags=41%, list=16%, signal=49%	
GOCC_MHC_PROTEIN_COMPLEX	GOCC_MHC_PROTEIN_COMPLEX		31	0.7004517	2.3306801	0.0	0.0	0.0	1174	tags=32%, list=6%, signal=34%	
GOCC_CLATHRIN_COATED_PIT	GOCC_CLATHRIN_COATED_PIT		70	0.59826434	2.3138118	0.0	0.0	0.0	3987	tags=49%, list=20%, signal=60%	
