"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a6",9.1998974807246e-266,3.19527946437674,0.739,0.219,1.53527889158332e-261
"Lgals3",1.23213117997655e-227,3.1154644030708,0.892,0.55,2.05618051314486e-223
"Anxa1",2.33678623562169e-263,2.92918138228477,0.883,0.452,3.89962887000547e-259
"Cldn4",0,2.90577166576176,0.639,0.038,0
"Gm26870",3.79122467323563e-287,2.82382377117045,0.395,0.044,6.32679573469563e-283
"Cdkn1a",5.82073568921535e-271,2.77959110371206,0.931,0.57,9.71364371816257e-267
"Clu",1.62071209304726e-71,2.57874872180736,0.784,0.668,2.70464434087726e-67
"Phlda3",0,2.44532937251144,0.802,0.147,0
"Hspb1",3.37972960554784e-127,2.25775828567758,0.693,0.363,5.64009276573823e-123
"Sfn",8.13914744652279e-138,2.16670446029523,0.785,0.484,1.35826092587572e-133
"F3",8.22097468452125e-139,1.96905826339546,0.475,0.135,1.37191625535291e-134
"Cryab",1.69099959238206e-148,1.94949807889103,0.795,0.461,2.82194011976718e-144
"Krt19",9.24427261088793e-137,1.94864763488816,0.728,0.38,1.54268421330498e-132
"S100a11",1.20255332599166e-182,1.92174595399344,0.951,0.925,2.00682099041488e-178
"Nupr1",0.159473467891396,1.79629443909363,0.673,0.792,1
"2200002D01Rik",3.52094955557802e-236,1.73672913089277,0.753,0.256,5.8757606183486e-232
"Krt7",4.86908210388151e-141,1.73436023240719,0.796,0.488,8.12552421495746e-137
"Ccng1",3.97453437852379e-236,1.73328079817897,0.708,0.221,6.6327029708805e-232
"Rps27l",1.02419993244139e-200,1.72518491676227,0.929,0.778,1.7091848472582e-196
"Hist1h2bc",9.53207644622239e-129,1.70169618986431,0.676,0.325,1.59071291734559e-124
"Hsp90aa1",6.41629889140877e-147,1.69270865252049,0.921,0.811,1.0707519589983e-142
"Dusp1",9.79863277214286e-94,1.68415259845886,0.767,0.505,1.6351958370152e-89
"Gsn",1.64166173072038e-101,1.68079430147467,0.664,0.337,2.73960509622617e-97
"Timp2",3.6619869523306e-127,1.66880152447422,0.647,0.297,6.11112382604931e-123
"Hist1h1c",2.07628614860662e-127,1.66754504659866,0.455,0.135,3.46490632479473e-123
"Bax",3.62048124402115e-171,1.62375070345418,0.801,0.436,6.04185910002249e-167
"Gsto1",8.94912274767841e-229,1.60434675343804,0.343,0.042,1.49342960413257e-224
"Ctsd",2.82750550981415e-131,1.59460613423816,0.826,0.599,4.71854119477785e-127
"Pkm",3.92581138379193e-143,1.55759152976479,0.881,0.706,6.55139403727197e-139
"Esd",1.01616593503268e-84,1.54196559049773,0.711,0.452,1.69577771238253e-80
"Ifitm3",3.88451695533401e-78,1.52710743919132,0.38,0.134,6.48248189506139e-74
"Gdf15",5.20774484704331e-94,1.5138178119155,0.341,0.094,8.69068460074587e-90
"Xist",9.21872143457058e-140,1.50619576971456,0.884,0.599,1.53842023300114e-135
"S100a10",5.75534221872459e-97,1.50212445874911,0.844,0.698,9.60451509460759e-93
"Tacstd2",4.53999855329709e-123,1.49771270085359,0.633,0.283,7.57634958574219e-119
"Tnfrsf12a",3.6223882448929e-109,1.4699687486875,0.789,0.524,6.04504150307727e-105
"Anxa5",1.40231975208378e-139,1.46572132621882,0.866,0.659,2.34019120227741e-135
"Hist1h4h",1.6737595720253e-237,1.46124805045744,0.307,0.031,2.79316997379582e-233
"Rtn4",4.00833569076419e-160,1.46030438777382,0.705,0.311,6.68911060074727e-156
"Hspa1a",6.09173063076512e-42,1.45951628201188,0.492,0.274,1.01658800766208e-37
"Mdm2",3.06080670666814e-126,1.45795439373781,0.546,0.194,5.10787423208778e-122
"Mfge8",3.03688496370556e-158,1.44531768777373,0.485,0.126,5.06795362743183e-154
"Lamc2",5.32650000980036e-171,1.43566586487668,0.593,0.187,8.88886321635484e-167
"Krt18",6.53513682158121e-134,1.42674134575124,0.948,0.91,1.09058363278547e-129
"Anxa2",4.17813622638686e-98,1.42149999428019,0.88,0.842,6.97247373459439e-94
"Tmsb10",1.02268855785584e-63,1.41575728649196,0.738,0.553,1.70666266534983e-59
"Anxa3",1.13462377580636e-106,1.40122170021131,0.858,0.739,1.89346015706566e-102
"Cd81",1.11643573927155e-103,1.38947556205626,0.883,0.879,1.86310796169636e-99
"Cxcl16",7.43712532427877e-168,1.38552830670514,0.721,0.311,1.24110747411564e-163
"Myl12a",1.29164560008566e-155,1.38366735607621,0.938,0.903,2.15549817742295e-151
"Isg15",5.91463957836957e-99,1.35349921399071,0.323,0.082,9.87035052838313e-95
"Gadd45b",7.96874258519164e-71,1.34469817777449,0.668,0.417,1.32982376261678e-66
"Plk2",4.22125616178029e-134,1.33725097452601,0.542,0.177,7.04443228277895e-130
"Perp",2.45733213193071e-127,1.32771364530613,0.522,0.18,4.10079586176597e-123
"Prr13",1.95915657092265e-101,1.31906883790287,0.707,0.428,3.26944048555572e-97
"Ccnd2",8.93067608105251e-117,1.30669819878729,0.375,0.096,1.49035122440604e-112
"S100a14",8.28031529388996e-103,1.30348282243733,0.363,0.101,1.38181901624436e-98
"Cystm1",2.88594344144773e-133,1.30246494596342,0.892,0.836,4.81606241508797e-129
"Ctsl",1.17714439345763e-37,1.29503793703441,0.577,0.397,1.96441856380209e-33
"Msn",5.5225869690509e-120,1.29268698474214,0.77,0.47,9.21609313395214e-116
"Igfbp7",3.42318047890631e-16,1.28124360720874,0.698,0.781,5.71260358319885e-12
"Psmd8",3.99080107730125e-107,1.27845586639255,0.784,0.586,6.65984883780033e-103
"Cstb",4.19320638053904e-71,1.27706424718399,0.836,0.741,6.99762280784354e-67
"Plaur",0,1.26934415372475,0.363,0.014,0
"Cyr61",1.80136570737854e-23,1.24483591637954,0.613,0.479,3.00611909247331e-19
"Eno1",2.95564583838066e-145,1.23794472385963,0.644,0.256,4.93238177508964e-141
"Usp50",3.510721067885e-36,1.22627042129823,0.616,0.45,5.85869131808649e-32
"Neat1",1.13683842542497e-34,1.22612283814292,0.853,0.769,1.89715596434919e-30
"Ly6a",4.32955951782992e-44,1.19964948710259,0.281,0.111,7.22516892335457e-40
"Epcam",2.56611826821469e-90,1.19646012541393,0.816,0.685,4.28233816599668e-86
"Emp1",7.46658456488297e-207,1.18924824407597,0.33,0.043,1.24602363218767e-202
"Hsp90ab1",6.81517656332008e-139,1.1857275860979,0.934,0.87,1.13731666488685e-134
"Taldo1",1.00107818572375e-55,1.18455568245693,0.704,0.559,1.6705992763358e-51
"Vmp1",8.80234848371826e-56,1.17823098695262,0.742,0.572,1.4689359149629e-51
"Mt2",0.000599650695338599,1.17719508230965,0.503,0.492,1
"Btg2",1.34949533414108e-48,1.16212909379871,0.835,0.762,2.25203781361463e-44
"Ywhah",7.93815160216759e-103,1.1510328176944,0.704,0.417,1.32471873936973e-98
"Rnh1",3.39622459620697e-98,1.13888232501237,0.765,0.53,5.6676196061502e-94
"Krt8",9.05963023394058e-48,1.13284990623191,0.844,0.86,1.51187109344e-43
"Ybx1",6.02365865073489e-96,1.12726683810918,0.87,0.771,1.00522815563464e-91
"Cltb",1.76308670771855e-98,1.12012116080527,0.738,0.477,2.94223909784072e-94
"Clic1",1.42781993465352e-92,1.10098616504828,0.83,0.733,2.38274590694979e-88
"Actn1",1.34899454948335e-87,1.09817561367032,0.568,0.271,2.25120210417782e-83
"Rheb",2.24793029222254e-106,1.08920262290394,0.762,0.495,3.75134607166097e-102
"Capzb",2.77656106273181e-98,1.0854407855245,0.767,0.539,4.63352510148684e-94
"Ndnf",1.61871345819093e-67,1.07695598821115,0.42,0.173,2.70130901902903e-63
"Pttg1ip",9.28470551962443e-106,1.07442043123353,0.552,0.231,1.54943165711492e-101
"Ahnak2",0,1.07373277382201,0.381,0.034,0
"Spint1",4.63237342711609e-97,1.07017142433709,0.64,0.326,7.73050477517132e-93
"Cox6b2",7.69906567181252e-32,1.05763175779567,0.373,0.208,1.28482007931207e-27
"Ube2d3",5.80821421534488e-128,1.0575881101677,0.897,0.778,9.69274788256753e-124
"Itgb1",1.54368086306379e-86,1.05369519483078,0.761,0.526,2.57609462428085e-82
"Cdc42",2.27058914816524e-107,1.05320209965063,0.843,0.672,3.78915917045815e-103
"Cycs",3.49781606293802e-91,1.04908011445673,0.785,0.544,5.83715544583098e-87
"Akr1b8",1.50450799985732e-74,1.04524610892436,0.505,0.231,2.5107229501619e-70
"Eif3c",9.34782319923091e-91,1.04362042900733,0.713,0.444,1.55996473548765e-86
"Atp6v0e",4.55068939655595e-101,1.0402261536649,0.823,0.652,7.59419046497257e-97
"Ppp1r11",9.42110581382763e-97,1.03920799517841,0.644,0.332,1.57219413821155e-92
"Emp2",8.8477576663146e-90,1.0379110452789,0.853,0.703,1.47651379935458e-85
"Gprc5a",4.3512414062512e-58,1.03786166123048,0.799,0.66,7.261351658752e-54
"Ghitm",7.62809416153522e-91,1.02712433011076,0.702,0.433,1.272976353677e-86
"Trp53inp1",3.8298056160625e-115,1.02373080793974,0.489,0.161,6.3911796120851e-111
"Sqstm1",1.33540426063945e-41,1.01809728894812,0.753,0.649,2.22852263015511e-37
"Lmo7",1.75310727296843e-45,1.01186305646923,0.701,0.553,2.92558541712972e-41
"B2m",1.54265972430903e-41,1.00498171194814,0.901,0.9,2.57439054792691e-37
"Cfl2",7.16083442010322e-87,1.0003341396057,0.603,0.3,1.19500004802683e-82
"Arpc2",8.69183318786076e-88,0.997901826883169,0.833,0.723,1.4504931223902e-83
