"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lrg1",5.85607204321371e-161,1.16669840429021,0.91,0.721,9.77261302571504e-157
"Lcn2",2.08538467121791e-204,0.97499347351721,0.982,0.902,3.48008993932845e-200
"Ptgs1",9.50018763146525e-233,0.851153181101716,0.867,0.501,1.58539131193892e-228
"Retnla",6.3459158221989e-38,0.798260376696448,0.355,0.172,1.05900643240855e-33
"Npc2",0,0.783170930368077,1,0.992,0
"Itm2a",1.77627034321764e-139,0.782896578305285,0.525,0.215,2.96423994876159e-135
"Gapdh",1.91575198405843e-258,0.772850793071949,0.974,0.758,3.1970069109967e-254
"Atp5f1",1.29763330351689e-291,0.751902639275269,0.989,0.787,2.16549045690899e-287
"Cxcl17",4.22910526520713e-164,0.74440548294264,0.682,0.274,7.05753086657766e-160
"Wbp5",1.31222235778181e-246,0.730214813804029,0.98,0.902,2.18983667066629e-242
"Ngfrap1",1.33283357626626e-203,0.709735030463968,0.935,0.651,2.22423267207313e-199
"Rps27l",1.29405156710618e-191,0.692227776138086,0.986,0.753,2.15951325518679e-187
"Apoc1",6.08945503703551e-77,0.675345253040201,0.854,0.641,1.01620825658049e-72
"Tmsb4x",6.05690229264257e-238,0.673372047375214,1,0.999,1.01077585459619e-233
"Uqcrq",4.24741808834652e-237,0.671975852505659,0.979,0.72,7.08809130583268e-233
"Atp5e",4.79206267842535e-247,0.668037920799153,0.991,0.825,7.99699419775622e-243
"Clu",5.70485859462024e-150,0.665377066466152,0.937,0.63,9.52026802270226e-146
"Cd63",1.6422837366735e-242,0.644259575564536,0.999,0.934,2.74064309976074e-238
"Slpi",8.95814526089401e-84,0.633878072148847,0.773,0.485,1.49493528113799e-79
"Cox7a2",3.28605512349074e-221,0.62205179367016,0.991,0.82,5.48376879008135e-217
"Ly6c1",1.42001048514608e-84,0.618329024549995,0.647,0.364,2.36971349761178e-80
"Prdx4",3.70036202852832e-137,0.615015162956833,0.747,0.382,6.17516415320806e-133
"Cstb",3.67510721564216e-194,0.611064290210447,0.966,0.709,6.13301892146364e-190
"Il33",3.5310414975353e-95,0.589573703598554,0.89,0.681,5.89260205108691e-91
"Dynlrb1",3.30345140575614e-168,0.587591632298476,0.962,0.698,5.51279970592585e-164
"Dcxr",1.53125923594743e-117,0.584088267540445,0.974,0.808,2.55536541294908e-113
"B2m",1.6121269362921e-131,0.583130321623897,0.993,0.885,2.69031743128425e-127
"Atox1",7.50399825034915e-187,0.574555409753185,0.982,0.794,1.25226722801827e-182
"Ifi27",1.62185459197661e-135,0.567091389186373,0.906,0.58,2.70655094309057e-131
"Tmem243",2.01469321904227e-169,0.561885561385882,0.989,0.854,3.36212004393774e-165
"Ctsh",1.00497919061199e-118,0.561149452428755,0.995,0.922,1.6771092732933e-114
"Ccnd1",5.16098692376988e-122,0.546311113654314,0.834,0.482,8.61265497838717e-118
"Mpc1",1.88422902042421e-167,0.542064546396462,0.961,0.692,3.14440138928391e-163
"Dmkn",9.19587841929852e-33,0.540060480813832,0.325,0.153,1.53460819061254e-28
"Bax",1.48094503258045e-104,0.539929294922969,0.762,0.406,2.47140107037025e-100
"Serpinb6b",1.45008829706731e-104,0.538884209902404,0.811,0.496,2.41990735014592e-100
"Tmem37",2.92126825944434e-119,0.534830197147536,0.771,0.379,4.87501247136072e-115
"Psmb5",1.26258805267486e-145,0.533009076119942,0.894,0.56,2.10700694230381e-141
"Fth1",1.9244211691211e-201,0.530848352735977,1,0.992,3.2114740470293e-197
"Uqcr11",5.1269089768602e-178,0.530735634090491,0.986,0.84,8.5557857005843e-174
"Atp6v1g1",2.62970166024898e-170,0.529010310031526,0.99,0.85,4.3884461306235e-166
"Cox5b",1.14980317218091e-160,0.527409995581367,0.969,0.725,1.91879153373551e-156
"Rbm3",2.09489083722094e-134,0.526221074744601,0.926,0.636,3.49595382915431e-130
"Atp5o",7.38192451710959e-150,0.52111659282372,0.946,0.682,1.23189556341525e-145
"Ndufa4",1.95261203259827e-184,0.513629514986741,0.993,0.854,3.25851896e-180
"Tmem213",1.15043945650618e-100,0.51356855200674,0.419,0.135,1.91985336501752e-96
"Myl6",2.4959838555045e-178,0.513134213387768,0.998,0.949,4.1652978580659e-174
"Hist1h2bc",1.85550852920993e-44,0.510759507016857,0.56,0.309,3.09647263354553e-40
"Tmem256",5.27767512286163e-141,0.510426301862398,0.938,0.663,8.80738424503149e-137
"Atp5k",4.37349145103007e-146,0.508686719319791,0.94,0.65,7.29848253347899e-142
"Atp5g1",1.21819468393425e-148,0.507846641786381,0.95,0.683,2.03292328854947e-144
"Cox7b",2.78508697688543e-139,0.506312039873233,0.926,0.643,4.6477531470264e-135
"Sftpd",1.04120641601993e-123,0.505030345375632,0.999,0.983,1.73756526705406e-119
"Cox6b2",7.66763456388503e-62,0.504708768369163,0.414,0.185,1.27957485602113e-57
"Cox8a",1.83096051349427e-193,0.504590389236859,0.998,0.919,3.05550690491923e-189
"Wfdc2",5.18279967438464e-170,0.49993269412811,0.999,0.984,8.6490560966131e-166
"Psmb1",1.84592147926951e-144,0.498497999809032,0.963,0.706,3.08047376460496e-140
"Atp5h",4.14066175034008e-170,0.49723334149536,0.987,0.834,6.90993632896753e-166
"Sec61b",1.16813823833087e-123,0.496912966268434,0.944,0.723,1.94938909212655e-119
"Ccng1",2.04377348579894e-86,0.494077891788396,0.534,0.201,3.41064919310127e-82
"Atp5l",1.38471837044421e-174,0.49404154559505,0.991,0.841,2.31081801659729e-170
"Sec61g",8.17875859903813e-141,0.493557852417783,0.984,0.802,1.36487123500748e-136
"Ndufb9",3.62581346156647e-136,0.491107573476903,0.947,0.686,6.05075750466212e-132
"Cox6b1",9.68045860952324e-171,0.489627165182887,0.99,0.845,1.61547493275724e-166
"Snx7",5.87696162153176e-111,0.485888518538607,0.836,0.521,9.8074735540122e-107
"Psme1",2.32765242738928e-132,0.485586189839039,0.941,0.673,3.88438637082724e-128
"Cox5a",4.55366899569345e-138,0.484796918897359,0.952,0.687,7.59916282001323e-134
"Cdkn1a",2.97859349966744e-51,0.482011313607525,0.777,0.559,4.97067683224502e-47
"Ndufc1",5.28798141481264e-123,0.480687258901999,0.9,0.601,8.82458338503933e-119
"Uqcrb",3.44328470901255e-143,0.476965391300203,0.976,0.76,5.74615352240014e-139
"Phlda3",3.91540076720684e-66,0.475918629578277,0.419,0.145,6.53402080031478e-62
"Ndufs6",7.70921261976707e-134,0.475508194436557,0.932,0.625,1.28651340198673e-129
"Cd302",1.03588660290798e-110,0.474672455603108,0.762,0.391,1.72868756293285e-106
"Atp5c1",4.00886145612206e-133,0.473204426374854,0.929,0.618,6.68998799797649e-129
"Nme1",8.54828266862649e-119,0.472904309917013,0.767,0.39,1.42653741174039e-114
"Atp5j2",1.58868989656614e-145,0.472611826452795,0.985,0.815,2.65120569938957e-141
"Id2",5.56073120023254e-79,0.466934874157864,0.919,0.711,9.27974822694807e-75
"Psmb3",4.19730599986244e-130,0.466615517051619,0.943,0.656,7.00446425257044e-126
"Bst2",2.03770487048975e-88,0.465559927752974,0.662,0.303,3.4005218878733e-84
"Coa3",7.5190463203611e-120,0.461892837630303,0.885,0.556,1.25477844994186e-115
"Scd1",3.20415883773788e-78,0.459514354485771,0.995,0.937,5.34710026841697e-74
"Ndufa11",9.43236980786453e-122,0.458118665230614,0.907,0.593,1.57407387353643e-117
"Napsa",8.75253237870248e-141,0.457041997197768,0.998,0.961,1.46062260335787e-136
"Pfn1",9.46407410531921e-151,0.452993947886048,0.995,0.9,1.57936468669567e-146
"Cox7c",3.04031442968433e-142,0.449748310185043,0.989,0.834,5.07367672025722e-138
"Gpx1",5.07489596394885e-102,0.447555127223978,0.979,0.835,8.46898638463784e-98
"Ndufs8",2.273296687831e-112,0.447365479553085,0.834,0.48,3.79367751265237e-108
"Etfb",2.56771615689839e-114,0.447224577612308,0.956,0.754,4.28500472263204e-110
"Ndufb8",2.47652167886852e-121,0.447185974574911,0.929,0.652,4.13281937769579e-117
"Ly6e",2.47455789587402e-89,0.447138361914321,0.976,0.861,4.12954221663457e-85
"Ndufa3",2.68829477802887e-133,0.443426777084698,0.969,0.727,4.48622632557458e-129
"Cystm1",4.90460214674076e-123,0.44338358130411,0.988,0.815,8.18480006248098e-119
"Ndufa13",6.35045066631464e-143,0.443140018549916,0.991,0.848,1.05976320719459e-138
