NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_MHC_PROTEIN_COMPLEX_BINDING	GOMF_MHC_PROTEIN_COMPLEX_BINDING	Details ...	21	-0.63090765	-2.004595	0.0	0.08250198	0.095	4448	tags=52%, list=22%, signal=67%	
GOMF_IMMUNE_RECEPTOR_ACTIVITY	GOMF_IMMUNE_RECEPTOR_ACTIVITY	Details ...	128	-0.3884036	-1.845963	0.0	0.23519023	0.441	2496	tags=27%, list=13%, signal=31%	
GOMF_ANTIGEN_BINDING	GOMF_ANTIGEN_BINDING	Details ...	67	-0.438163	-1.834508	0.0	0.17717554	0.476	3425	tags=33%, list=17%, signal=40%	
GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY	GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY	Details ...	18	-0.56541383	-1.7784321	0.007614213	0.22737294	0.674	2543	tags=44%, list=13%, signal=51%	
GOMF_PEPTIDOGLYCAN_BINDING	GOMF_PEPTIDOGLYCAN_BINDING	Details ...	18	-0.5901339	-1.7754798	0.00477327	0.18655238	0.687	4802	tags=50%, list=24%, signal=66%	
GOMF_NADPLUS_NUCLEOSIDASE_ACTIVITY	GOMF_NADPLUS_NUCLEOSIDASE_ACTIVITY	Details ...	19	-0.53761667	-1.6927705	0.016129032	0.31181982	0.892	2655	tags=37%, list=13%, signal=42%	
GOMF_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	GOMF_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	Details ...	16	-0.5711913	-1.6888573	0.015151516	0.27394742	0.899	1648	tags=44%, list=8%, signal=48%	
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	107	-0.35876828	-1.644176	0.0026455026	0.345183	0.97	3391	tags=33%, list=17%, signal=39%	
GOMF_OLIGOSACCHARIDE_BINDING	GOMF_OLIGOSACCHARIDE_BINDING	Details ...	18	-0.53376657	-1.6423789	0.020594966	0.31121814	0.973	3205	tags=56%, list=16%, signal=66%	
GOMF_IMMUNOGLOBULIN_BINDING	GOMF_IMMUNOGLOBULIN_BINDING	Details ...	24	-0.48634186	-1.6304806	0.023752969	0.30828306	0.987	3072	tags=38%, list=15%, signal=44%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	152	-0.32705444	-1.5787104	0.0062111802	0.41446432	0.999	6724	tags=48%, list=34%, signal=72%	
GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	Details ...	45	-0.407672	-1.5777018	0.012562814	0.38245025	0.999	2642	tags=29%, list=13%, signal=33%	
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	76	-0.3644477	-1.5765659	0.002538071	0.35596743	0.999	2973	tags=28%, list=15%, signal=32%	
GOMF_DEAMINASE_ACTIVITY	GOMF_DEAMINASE_ACTIVITY	Details ...	26	-0.46103054	-1.5730568	0.030023094	0.33859217	0.999	5188	tags=58%, list=26%, signal=78%	
