NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	139	0.8067315	3.6012862	0.0	0.0	0.0	1807	tags=60%, list=9%, signal=66%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA	Details ...	130	0.67842877	2.9907458	0.0	0.0	0.0	1898	tags=44%, list=10%, signal=48%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	119	0.6719966	2.9459183	0.0	0.0	0.0	1735	tags=42%, list=9%, signal=46%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	Details ...	40	0.8125712	2.8941813	0.0	0.0	0.0	1685	tags=60%, list=8%, signal=65%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	Details ...	71	0.72375774	2.8754282	0.0	0.0	0.0	1304	tags=45%, list=7%, signal=48%	
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA	GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA	Details ...	103	0.67050993	2.852305	0.0	0.0	0.0	1898	tags=43%, list=10%, signal=47%	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	60	0.7236693	2.8355815	0.0	0.0	0.0	1426	tags=47%, list=7%, signal=50%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	Details ...	33	0.844675	2.806795	0.0	0.0	0.0	1066	tags=64%, list=5%, signal=67%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	26	0.83734846	2.6976547	0.0	0.0	0.0	1066	tags=62%, list=5%, signal=65%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	72	0.66417	2.6799676	0.0	0.0	0.0	2009	tags=35%, list=10%, signal=38%	
