NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	152	0.77563643	3.455434	0.0	0.0	0.0	2086	tags=57%, list=10%, signal=63%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	Details ...	73	0.7489755	3.015373	0.0	0.0	0.0	1917	tags=51%, list=10%, signal=56%	
GOMF_MRNA_5_UTR_BINDING	GOMF_MRNA_5_UTR_BINDING	Details ...	28	0.7780888	2.5036914	0.0	0.0	0.0	1492	tags=50%, list=7%, signal=54%	
GOMF_MRNA_BINDING	GOMF_MRNA_BINDING	Details ...	320	0.48938987	2.4355035	0.0	0.0	0.0	3989	tags=41%, list=20%, signal=50%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY	GOMF_TRANSLATION_REGULATOR_ACTIVITY	Details ...	127	0.52756685	2.3657727	0.0	0.0	0.0	3121	tags=39%, list=16%, signal=46%	
GOMF_IMMUNOGLOBULIN_BINDING	GOMF_IMMUNOGLOBULIN_BINDING	Details ...	24	0.7285776	2.2792952	0.0	4.3104292E-4	0.002	511	tags=33%, list=3%, signal=34%	
GOMF_MRNA_3_UTR_BINDING	GOMF_MRNA_3_UTR_BINDING	Details ...	101	0.5363554	2.2665412	0.0	3.6946536E-4	0.002	3748	tags=45%, list=19%, signal=55%	
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	Details ...	65	0.58631074	2.264925	0.0	3.232822E-4	0.002	2099	tags=34%, list=11%, signal=38%	
GOMF_MHC_PROTEIN_COMPLEX_BINDING	GOMF_MHC_PROTEIN_COMPLEX_BINDING	Details ...	21	0.7447975	2.2553582	0.0	2.8736194E-4	0.002	2199	tags=57%, list=11%, signal=64%	
GOMF_MHC_PROTEIN_BINDING	GOMF_MHC_PROTEIN_BINDING	Details ...	48	0.6115138	2.2345932	0.0	3.870177E-4	0.003	2412	tags=40%, list=12%, signal=45%	
GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY	GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY	Details ...	41	0.630243	2.2308137	0.0	3.518343E-4	0.003	2429	tags=46%, list=12%, signal=53%	
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	Details ...	75	0.54722834	2.2279809	0.0	3.2251477E-4	0.003	3050	tags=40%, list=15%, signal=47%	
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	Details ...	325	0.44170654	2.2001638	0.0	4.9611845E-4	0.004	3809	tags=37%, list=19%, signal=45%	
GOMF_PROTEOGLYCAN_BINDING	GOMF_PROTEOGLYCAN_BINDING	Details ...	53	0.58362275	2.1850402	0.0	4.606814E-4	0.004	610	tags=25%, list=3%, signal=25%	
