NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	99	0.86771846	3.6756446	0.0	0.0	0.0	1025	tags=73%, list=5%, signal=76%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	184	0.74272007	3.4731452	0.0	0.0	0.0	1766	tags=46%, list=9%, signal=50%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	219	0.7003693	3.3314154	0.0	0.0	0.0	2086	tags=44%, list=10%, signal=48%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	52	0.8679134	3.3184817	0.0	0.0	0.0	1701	tags=87%, list=9%, signal=94%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	78	0.7929476	3.23771	0.0	0.0	0.0	1509	tags=51%, list=8%, signal=55%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	45	0.90059114	3.2260416	0.0	0.0	0.0	951	tags=73%, list=5%, signal=77%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	111	0.71767646	3.1199977	0.0	0.0	0.0	2086	tags=46%, list=10%, signal=51%	
GOCC_POLYSOME	GOCC_POLYSOME	Details ...	75	0.75538474	3.0364306	0.0	0.0	0.0	1844	tags=55%, list=9%, signal=60%	
GOCC_POLYSOMAL_RIBOSOME	GOCC_POLYSOMAL_RIBOSOME	Details ...	32	0.86742	2.9148328	0.0	0.0	0.0	1815	tags=84%, list=9%, signal=93%	
GOCC_PHAGOCYTIC_VESICLE	GOCC_PHAGOCYTIC_VESICLE	Details ...	107	0.62631536	2.6770818	0.0	0.0	0.0	3225	tags=50%, list=16%, signal=60%	
GOCC_ENDOCYTIC_VESICLE	GOCC_ENDOCYTIC_VESICLE	Details ...	207	0.504531	2.3952167	0.0	0.0	0.0	3258	tags=37%, list=16%, signal=44%	
GOCC_SPLICEOSOMAL_COMPLEX	GOCC_SPLICEOSOMAL_COMPLEX	Details ...	192	0.48949522	2.307997	0.0	1.1794872E-4	0.001	4510	tags=44%, list=23%, signal=57%	
GOCC_NUCLEAR_PERIPHERY	GOCC_NUCLEAR_PERIPHERY	Details ...	131	0.52508587	2.3033483	0.0	1.0887575E-4	0.001	4079	tags=42%, list=20%, signal=52%	
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	GOCC_CATALYTIC_STEP_2_SPLICEOSOME	Details ...	92	0.53648925	2.2927136	0.0	1.0109891E-4	0.001	4510	tags=49%, list=23%, signal=63%	
GOCC_NUCLEAR_MATRIX	GOCC_NUCLEAR_MATRIX	Details ...	106	0.5279257	2.2788515	0.0	9.435898E-5	0.001	4065	tags=43%, list=20%, signal=54%	
GOCC_NUCLEOSOME	GOCC_NUCLEOSOME	Details ...	71	0.56553054	2.2409027	0.0	8.846154E-5	0.001	2481	tags=35%, list=12%, signal=40%	
GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	Details ...	64	0.56956255	2.2183728	0.0	1.6373025E-4	0.002	4481	tags=48%, list=22%, signal=62%	
GOCC_PODOSOME	GOCC_PODOSOME	Details ...	26	0.6936803	2.2040603	0.0	2.2713214E-4	0.003	2580	tags=50%, list=13%, signal=57%	
GOCC_RIBONUCLEOPROTEIN_GRANULE	GOCC_RIBONUCLEOPROTEIN_GRANULE	Details ...	250	0.44955093	2.1934745	0.0	2.1517782E-4	0.003	3584	tags=36%, list=18%, signal=43%	
GOCC_PHAGOCYTIC_CUP	GOCC_PHAGOCYTIC_CUP	Details ...	22	0.7106836	2.1710021	0.0	2.0441893E-4	0.003	2476	tags=59%, list=12%, signal=67%	
GOCC_PROTEASOME_COMPLEX	GOCC_PROTEASOME_COMPLEX		63	0.5565074	2.1676362	0.0	1.9468469E-4	0.003	4389	tags=54%, list=22%, signal=69%	
GOCC_LYSOSOMAL_LUMEN	GOCC_LYSOSOMAL_LUMEN		20	0.7156138	2.1628397	0.0	2.4992455E-4	0.004	3416	tags=60%, list=17%, signal=72%	
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE		45	0.5908196	2.1622288	0.0	2.3905827E-4	0.004	3678	tags=49%, list=18%, signal=60%	
GOCC_COPI_COATED_VESICLE_MEMBRANE	GOCC_COPI_COATED_VESICLE_MEMBRANE		17	0.75539374	2.155284	0.0	2.2909751E-4	0.004	3381	tags=65%, list=17%, signal=78%	
GOCC_VACUOLAR_LUMEN	GOCC_VACUOLAR_LUMEN		24	0.6822988	2.1483343	0.0	3.8401716E-4	0.007	3416	tags=54%, list=17%, signal=65%	
GOCC_COPI_COATED_VESICLE	GOCC_COPI_COATED_VESICLE		29	0.65543014	2.143799	0.0	3.6924728E-4	0.007	3618	tags=55%, list=18%, signal=67%	
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	GOCC_COMPLEX_OF_COLLAGEN_TRIMERS		20	0.6902815	2.1175616	0.0	5.575632E-4	0.011	75	tags=30%, list=0%, signal=30%	
GOCC_RUFFLE	GOCC_RUFFLE		150	0.47335768	2.1113997	0.0	5.908602E-4	0.012	2580	tags=31%, list=13%, signal=36%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX		127	0.47497365	2.0910568	0.0	7.150834E-4	0.015	4498	tags=46%, list=23%, signal=60%	
GOCC_HISTONE_DEACETYLASE_COMPLEX	GOCC_HISTONE_DEACETYLASE_COMPLEX		82	0.50851905	2.0878165	0.0	7.787437E-4	0.017	3163	tags=38%, list=16%, signal=45%	
GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX	GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX		76	0.5167726	2.0828493	0.0	8.4645546E-4	0.019	4481	tags=45%, list=22%, signal=57%	
GOCC_PRECATALYTIC_SPLICEOSOME	GOCC_PRECATALYTIC_SPLICEOSOME		53	0.5403304	2.0671234	0.0	9.1091864E-4	0.021	3706	tags=42%, list=19%, signal=51%	
GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX		18	0.70585907	2.0462925	0.0	0.0012712921	0.03	4798	tags=78%, list=24%, signal=102%	
GOCC_PEPTIDASE_COMPLEX	GOCC_PEPTIDASE_COMPLEX		134	0.45972493	2.0437324	0.0	0.0013167497	0.032	4389	tags=44%, list=22%, signal=56%	
GOCC_PROTEASOME_ACCESSORY_COMPLEX	GOCC_PROTEASOME_ACCESSORY_COMPLEX		24	0.65744215	2.043152	0.0	0.0012791282	0.032	3426	tags=46%, list=17%, signal=55%	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX		15	0.73638594	2.0366142	0.0021321962	0.0012821715	0.033	3932	tags=73%, list=20%, signal=91%	
GOCC_ACTIN_FILAMENT	GOCC_ACTIN_FILAMENT		131	0.45921516	2.035467	0.0	0.0012475181	0.033	1071	tags=23%, list=5%, signal=24%	
GOCC_SPINDLE_POLE_CENTROSOME	GOCC_SPINDLE_POLE_CENTROSOME		19	0.67221403	2.032415	0.0	0.0012500326	0.034	5385	tags=84%, list=27%, signal=115%	
GOCC_COLLAGEN_TRIMER	GOCC_COLLAGEN_TRIMER		81	0.5018858	2.0308328	0.0	0.0012555738	0.035	710	tags=17%, list=4%, signal=18%	
GOCC_MYELIN_SHEATH	GOCC_MYELIN_SHEATH		213	0.42693123	2.0305226	0.0	0.0012241845	0.035	2749	tags=32%, list=14%, signal=37%	
GOCC_ENDOPEPTIDASE_COMPLEX	GOCC_ENDOPEPTIDASE_COMPLEX		99	0.47829503	2.0284405	0.0	0.0012278174	0.036	4389	tags=46%, list=22%, signal=59%	
GOCC_IMMUNOLOGICAL_SYNAPSE	GOCC_IMMUNOLOGICAL_SYNAPSE		44	0.5633569	2.023808	0.0019493178	0.0012333529	0.037	2392	tags=39%, list=12%, signal=44%	
GOCC_CELL_SUBSTRATE_JUNCTION	GOCC_CELL_SUBSTRATE_JUNCTION		186	0.43306804	2.0072644	0.0	0.0016964605	0.051	3070	tags=35%, list=15%, signal=41%	
GOCC_MHC_PROTEIN_COMPLEX	GOCC_MHC_PROTEIN_COMPLEX		31	0.5939353	2.007105	0.0	0.0016579046	0.051	1066	tags=35%, list=5%, signal=37%	
GOCC_CHROMOSOME_CENTROMERIC_REGION	GOCC_CHROMOSOME_CENTROMERIC_REGION		233	0.4162161	2.0070577	0.0	0.0016210623	0.051	4065	tags=39%, list=20%, signal=48%	
GOCC_RETROMER_COMPLEX	GOCC_RETROMER_COMPLEX		21	0.6467992	2.0009546	0.0	0.0016171944	0.052	4486	tags=67%, list=22%, signal=86%	
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	GOCC_PHAGOCYTIC_VESICLE_MEMBRANE		23	0.6401675	1.9997554	0.0	0.0016437192	0.054	3477	tags=61%, list=17%, signal=74%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX		273	0.40876245	1.9898188	0.0	0.0018146976	0.06	4798	tags=40%, list=24%, signal=52%	
GOCC_U2_SNRNP	GOCC_U2_SNRNP		20	0.6610537	1.9866446	0.0	0.001805582	0.061	3706	tags=60%, list=19%, signal=74%	
GOCC_SIN3_TYPE_COMPLEX	GOCC_SIN3_TYPE_COMPLEX		22	0.65340906	1.9831579	0.0	0.0019081025	0.066	6134	tags=82%, list=31%, signal=118%	
GOCC_LYTIC_VACUOLE_MEMBRANE	GOCC_LYTIC_VACUOLE_MEMBRANE		200	0.42457393	1.9830815	0.0	0.0018706887	0.066	3310	tags=32%, list=17%, signal=37%	
GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX		241	0.4029151	1.9682113	0.0	0.0023207194	0.084	4084	tags=37%, list=20%, signal=46%	
GOCC_VACUOLAR_MEMBRANE	GOCC_VACUOLAR_MEMBRANE		247	0.4070427	1.9664005	0.0	0.002357206	0.087	3778	tags=33%, list=19%, signal=40%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME		83	0.4759446	1.959748	0.0	0.0024724817	0.092	4498	tags=45%, list=23%, signal=57%	
GOCC_DNA_PACKAGING_COMPLEX	GOCC_DNA_PACKAGING_COMPLEX		113	0.44903672	1.9423429	0.0	0.0031704304	0.12	2853	tags=28%, list=14%, signal=33%	
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX		76	0.47819135	1.9404593	0.0	0.003163974	0.121	3154	tags=37%, list=16%, signal=44%	
GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX	GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX		27	0.59328616	1.9355772	0.002079002	0.0032780732	0.126	4227	tags=59%, list=21%, signal=75%	
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX		92	0.46573487	1.9271336	0.0	0.003559342	0.139	4510	tags=42%, list=23%, signal=55%	
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	GOCC_ENDOCYTIC_VESICLE_MEMBRANE		41	0.5370224	1.9268565	0.0	0.003499014	0.139	3477	tags=49%, list=17%, signal=59%	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX		126	0.4397731	1.9181772	0.0	0.0038138204	0.152	3762	tags=37%, list=19%, signal=45%	
GOCC_CELL_LEADING_EDGE	GOCC_CELL_LEADING_EDGE		405	0.375488	1.9094135	0.0	0.0042158663	0.168	2521	tags=25%, list=13%, signal=29%	
GOCC_ATPASE_COMPLEX	GOCC_ATPASE_COMPLEX		96	0.45132685	1.9070799	0.0	0.004258813	0.17	4121	tags=41%, list=21%, signal=51%	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX		51	0.5086765	1.9026432	0.0	0.0043232217	0.176	2613	tags=37%, list=13%, signal=43%	
GOCC_EXTRACELLULAR_ORGANELLE	GOCC_EXTRACELLULAR_ORGANELLE		107	0.4483061	1.9012283	0.0	0.0043199924	0.178	2711	tags=34%, list=14%, signal=39%	
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE		495	0.36532736	1.8983623	0.0	0.0043873317	0.183	2572	tags=22%, list=13%, signal=25%	
GOCC_CHAPERONE_COMPLEX	GOCC_CHAPERONE_COMPLEX		34	0.5462563	1.8898041	0.0019607844	0.004856683	0.203	4541	tags=50%, list=23%, signal=65%	
GOCC_U1_SNRNP	GOCC_U1_SNRNP		18	0.6573548	1.8848231	0.006185567	0.005015381	0.213	4861	tags=67%, list=24%, signal=88%	
GOCC_LAMELLIPODIUM	GOCC_LAMELLIPODIUM		172	0.40057302	1.8722844	0.0	0.0055819233	0.237	3671	tags=35%, list=18%, signal=42%	
GOCC_CHROMOSOMAL_REGION	GOCC_CHROMOSOMAL_REGION		337	0.37534618	1.8680954	0.0	0.0057117143	0.245	4155	tags=36%, list=21%, signal=44%	
GOCC_EUCHROMATIN	GOCC_EUCHROMATIN		67	0.47497243	1.8674998	0.0	0.0056883544	0.247	3814	tags=42%, list=19%, signal=51%	
GOCC_AUTOPHAGOSOME	GOCC_AUTOPHAGOSOME		87	0.45586303	1.8666368	0.0	0.005788315	0.253	5179	tags=51%, list=26%, signal=68%	
GOCC_HETEROCHROMATIN	GOCC_HETEROCHROMATIN		98	0.44148472	1.8545831	0.0	0.0064960197	0.278	3207	tags=32%, list=16%, signal=38%	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE		95	0.43814856	1.844781	0.0	0.0071262773	0.299	1319	tags=23%, list=7%, signal=25%	
