NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS	GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS	Details ...	63	0.6063785	2.0461986	0.0	0.0778676	0.045	2143	tags=40%, list=11%, signal=44%	
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	Details ...	17	0.7632643	1.9950987	0.0	0.0854496	0.098	1653	tags=65%, list=8%, signal=70%	
GOBP_RESPONSE_TO_ACID_CHEMICAL	GOBP_RESPONSE_TO_ACID_CHEMICAL	Details ...	105	0.5420685	1.9795237	0.0	0.07047218	0.114	4503	tags=46%, list=23%, signal=59%	
GOBP_PLASMINOGEN_ACTIVATION	GOBP_PLASMINOGEN_ACTIVATION	Details ...	26	0.5746776	1.9739147	0.0	0.055350527	0.119	2143	tags=35%, list=11%, signal=39%	
GOBP_HEXOSE_CATABOLIC_PROCESS	GOBP_HEXOSE_CATABOLIC_PROCESS	Details ...	35	0.57399654	1.972767	0.0	0.045961663	0.124	4090	tags=46%, list=20%, signal=57%	
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL	GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL	Details ...	82	0.54713	1.970316	0.0	0.038681086	0.125	4503	tags=48%, list=23%, signal=61%	
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	Details ...	177	0.51397294	1.9678711	0.0	0.03642131	0.135	3386	tags=38%, list=17%, signal=45%	
GOBP_REGULATION_OF_PROTEIN_BINDING	GOBP_REGULATION_OF_PROTEIN_BINDING	Details ...	224	0.51038855	1.9603963	0.0	0.03660401	0.151	3514	tags=41%, list=18%, signal=49%	
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	Details ...	96	0.5120712	1.958676	0.0	0.03336417	0.155	2410	tags=30%, list=12%, signal=34%	
GOBP_MUSCLE_CELL_CELLULAR_HOMEOSTASIS	GOBP_MUSCLE_CELL_CELLULAR_HOMEOSTASIS	Details ...	28	0.5991687	1.9585015	0.0	0.030288847	0.156	2209	tags=32%, list=11%, signal=36%	
