NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_ODORANT_BINDING	GOMF_ODORANT_BINDING	Details ...	401	-0.38512114	-2.0756607	0.0	0.013910311	0.019	5194	tags=36%, list=26%, signal=48%	
GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	Details ...	42	-0.5449254	-2.060863	0.0	0.0073285946	0.02	5472	tags=52%, list=27%, signal=72%	
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	107	-0.44386765	-2.033032	0.0	0.0089029	0.037	5834	tags=46%, list=29%, signal=64%	
GOMF_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GOMF_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	Details ...	57	-0.49441925	-2.0211716	0.0	0.008253502	0.046	4791	tags=40%, list=24%, signal=53%	
GOMF_HORMONE_ACTIVITY	GOMF_HORMONE_ACTIVITY	Details ...	127	-0.43390787	-2.0063314	0.0	0.009232463	0.064	4742	tags=40%, list=24%, signal=52%	
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	76	-0.46258593	-1.9882365	0.0	0.0098057175	0.081	5834	tags=47%, list=29%, signal=67%	
GOMF_TASTE_RECEPTOR_ACTIVITY	GOMF_TASTE_RECEPTOR_ACTIVITY	Details ...	39	-0.53487426	-1.9631588	0.0	0.011706104	0.111	5632	tags=49%, list=28%, signal=68%	
GOMF_SEROTONIN_RECEPTOR_ACTIVITY	GOMF_SEROTONIN_RECEPTOR_ACTIVITY	Details ...	35	-0.53306204	-1.9482472	0.0	0.012430726	0.135	3637	tags=40%, list=18%, signal=49%	
GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	27	-0.5672741	-1.9392471	0.0	0.01267568	0.151	3799	tags=44%, list=19%, signal=55%	
GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	Details ...	71	-0.46046603	-1.9185328	0.0	0.014835253	0.194	4791	tags=39%, list=24%, signal=52%	
