"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scgb1a1",9.16381789165698e-06,1.68342142369404,0.755,0.853,0.152925792975972
"Cbr2",0,1.58266767545967,0.989,0.742,0
"Chia1",1.98637716049521e-291,1.37880655568518,0.629,0.308,3.3148662054344e-287
"Lyz1",2.17741799871263e-76,1.37646927281362,0.693,0.582,3.63367515625164e-72
"Lyz2",0,1.2737043569301,1,0.998,0
"Ly6i",1.47596410115885e-106,1.19485508080351,0.256,0.138,2.46308889201389e-102
"Fabp5",0,1.12436875147225,0.908,0.685,0
"Fosb",0,1.11705193284893,0.881,0.649,0
"Nr4a1",6.58183041359504e-269,1.02676473059577,0.77,0.543,1.09837585942074e-264
"Hc",0,1.01457534364668,0.91,0.608,0
"Errfi1",1.8546276200907e-297,1.01308659698687,0.915,0.752,3.09500257240736e-293
"mt-Nd2",0,0.962896629176126,0.978,0.848,0
"Cpm",6.02980714129917e-296,0.9479196807426,0.733,0.474,1.00625421574001e-291
"Sftpc",0,0.947117111744678,1,1,0
"Ces1d",0,0.943657642200045,0.78,0.505,0
"Rnase4",0,0.936393940083072,0.923,0.735,0
"Slc34a2",0,0.930841737976094,0.988,0.723,0
"Etv5",1.43497473835943e-307,0.900534452784023,0.825,0.573,2.39468584337422e-303
"Pla2g1b",1.30428810613628e-231,0.870883607639998,0.731,0.507,2.17659599152023e-227
"Acoxl",1.84849596045079e-219,0.855682530345432,0.567,0.322,3.08477005880028e-215
"Abca3",1.17212019805461e-294,0.853692027267786,0.871,0.637,1.95603418651353e-290
"Atp6v1c2",1.02590160103596e-274,0.850852382866739,0.707,0.451,1.71202459180882e-270
"Sftpa1",0,0.848236637747996,1,0.998,0
"Ang",1.37669210103212e-246,0.822503332222227,0.757,0.516,2.2974237782024e-242
"Bex2",1.2757235355551e-78,0.786543374033648,0.357,0.246,2.12892743613435e-74
"mt-Nd4",4.25331183727707e-292,0.779548263800454,0.992,0.938,7.09792679404797e-288
"Lamp3",0,0.769834702470138,0.961,0.687,0
"Lgi3",3.04262899911271e-251,0.764891122655247,0.818,0.579,5.07753927371929e-247
