"","ROI","AT1","AT2","DATP","PrimedAT2"
"1","PR8_1_2_ss2_4 | 1 | Full ROI",0.241853987354113,0.193312164006574,0.0682850059886911,0.0386956547383819
"5","PR8_1_2_ss2_4 | 2 | Full ROI",0.275677557728197,0.100582156485892,0.134029692766218,0.0898012870043234
"13","PR8_3_4_ss3_8 | 1 | Full ROI",0.243182641152057,0.305729645413777,0.0529316732124454,0.122445308214532
"17","PR8_3_4_ss3_8 | 2 | Full ROI",0.228701150385783,0.236840199437342,0.157613994039163,0.0810688859921789
"16","PR8_3_4_ss3_8 | 12 | Full ROI",0.100763209938442,0.306164173699897,0.307771371270995,0.228074625016958
"19","PR8_3_4_ss3_8 | 4 | Full ROI",0.0901395504303502,0.169491100526448,0.221709701679619,0.137255885007166
"20","PR8_3_4_ss3_8 | 5 | Full ROI",0.15027993649202,0.200041781565973,0.2293473719395,0.0865041494387788
"21","PR8_3_4_ss3_8 | 6 | Full ROI",0.0856772791844239,0.233500459597226,0.197030723378179,0.101379607292631
"22","PR8_3_4_ss3_8 | 7 | Full ROI",0.193200746497312,0.241948692236985,0.203323027213727,0.132631634825794
"2","PR8_1_2_ss2_4 | 10 | Full ROI",0.124637196735467,0.233369544023843,0.242837246873346,0.18290855899163
"3","PR8_1_2_ss2_4 | 11 | Full ROI",0.0860198880254032,0.162591571265424,0.299610038717585,0.27637857509393
"4","PR8_1_2_ss2_4 | 12 | Full ROI",0.104403777053564,0.286409849307819,0.238163282359823,0.204558189464495
"6","PR8_1_2_ss2_4 | 3 | Full ROI",0.0856772791844239,0.271468761315841,0.320623380964319,0.233896225691721
"7","PR8_1_2_ss2_4 | 4 | Full ROI",0.180763767025988,0.207061084649453,0.307342413860338,0.221297503258799
"8","PR8_1_2_ss2_4 | 5 | Full ROI",0.137210662655636,0.292158992785716,0.360633408540152,0.135940568947924
"10","PR8_1_2_ss2_4 | 7 | Full ROI",0.0984540820589955,0.351246483384864,0.374273697111501,0.224559251154588
"11","PR8_1_2_ss2_4 | 8 | Full ROI",0.0945878944876187,0.229160747611487,0.298289741232835,0.241702597011932
"14","PR8_3_4_ss3_8 | 10 | Full ROI",0.0762151472103841,0.344856689228712,0.317595610150135,0.247942975445467
"15","PR8_3_4_ss3_8 | 11 | Full ROI",0.222876800089134,0.429728976908721,0.375699841230049,0.285556296117163
"24","PR8_3_4_ss3_8 | 9 | Full ROI",0.197874711010835,0.396679758224005,0.374410183560346,0.29466028866174
"9","PR8_1_2_ss2_4 | 6 | Full ROI",0.269961839503078,0.44322442271803,0.395225759728141,0.334933732843383
"12","PR8_1_2_ss2_4 | 9 | Full ROI",0.360182167627643,0.421236177265257,0.349984680092477,0.297193599188397
"18","PR8_3_4_ss3_8 | 3 | Full ROI",0.201409431492159,0.347669981337567,0.214464778139885,0.176022319085059
"23","PR8_3_4_ss3_8 | 8 | Full ROI",0.266193142252305,0.440341494665887,0.319372719422857,0.197553983992073
