"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl13a",0,4.53128102136579,1,0.706,0
"Gnb2l1",0,3.68831874345472,0.936,0,0
"Ltb",0,3.50957487140685,0.893,0.108,0
"Rpl23a-ps3",0,3.37851320162943,0.895,0,0
"Cxcr6",0,3.28913104911782,0.781,0.003,0
"Ctla2a",0,3.27746473986518,0.819,0.065,0
"Gm9493",0,3.14728205327316,0.852,0,0
"Gm9843",0,3.04553945741242,0.834,0,0
"Sepw1",0,2.99837158140838,0.829,0,0
"Gm10073",0,2.91662746235312,0.799,0,0
"Rora",0,2.88828492166102,0.717,0.088,0
"Ptprcap",0,2.86140401415558,0.784,0.015,0
"Gata3",0,2.84315132868112,0.73,0.004,0
"Gm8730",0,2.82113741080236,0.775,0,0
"Tceb2",0,2.81537091542037,0.788,0,0
"Tnfrsf18",0,2.77679274642893,0.692,0.025,0
"Il7r",0,2.74094368035445,0.828,0.114,0
"Gltscr2",0,2.72615645675514,0.737,0,0
"Shfm1",0,2.63245871783205,0.747,0,0
"Ccl1",0,2.63134205685273,0.316,0.001,0
"Skap1",0,2.56082339276848,0.716,0.005,0
"Ppp1cc",0,2.53038856524365,0.886,0.491,0
"Selk",0,2.51316531375493,0.698,0,0
"Il1rl1",0,2.47946544276392,0.667,0.025,0
"Rps12-ps3",0,2.44287200360945,0.685,0.027,0
"Wdr89",0,2.42249695192378,0.781,0.212,0
"Rpl6l",0,2.40138355425171,0.669,0,0
"Ltb4r1",0,2.33840671460459,0.755,0.227,0
"Sept1",0,2.33659884653673,0.65,0.002,0
"Sep15",0,2.33644719761834,0.662,0,0
"Gm20186",0,2.32660432736863,0.334,0.044,0
"Areg",0,2.29577110789378,0.305,0.062,0
"Calca",0,2.29112198295371,0.293,0.001,0
"Thy1",0,2.25588943145703,0.591,0.005,0
"2010107E04Rik",0,2.23776140294746,0.625,0,0
"Gadd45b",0,2.22168786356904,0.675,0.483,0
"Bcl2",0,2.17148981738333,0.651,0.17,0
"Rps10",0,2.15473656921475,0.994,0.835,0
"Ccdc184",0,2.15104381603562,0.512,0,0
"Cd3g",0,2.14803412806784,0.365,0.011,0
"Minos1",0,2.14075343960572,0.598,0,0
"Hmha1",0,2.12009064785238,0.568,0,0
"Rpl13-ps3",0,2.1181337170237,0.579,0,0
"Rpl14",0,2.11604905978712,0.999,0.914,0
"Gm42418",0,2.10718486184074,0.371,0,0
"Ets1",0,2.09918779664254,0.634,0.083,0
"Hba-a1",0,2.09751910994513,0.381,0.003,0
"Rpl23a",0,2.09093345387739,0.998,0.934,0
"Cd82",0,2.06767701283494,0.724,0.294,0
"Tonsl",0,2.05894690417298,0.576,0.012,0
"Hs3st1",0,1.99782964625746,0.359,0.004,0
"Shisa5",0,1.99744620756821,0.96,0.822,0
"Tspan32",0,1.99288023961884,0.603,0.151,0
"Gimap1",0,1.99000493200517,0.517,0.008,0
"Rpl9-ps6",0,1.9804888008693,0.71,0.31,0
"Rpl22l1",0,1.96127955908835,0.939,0.768,0
"Rps27rt",0,1.95573742519059,0.822,0.433,0
"Rgs2",0,1.95063181215525,0.749,0.748,0
"Rpl4",0,1.94531180893198,0.993,0.888,0
"Usmg5",0,1.93629999028126,0.506,0,0
"Atp5o",0,1.92721498472632,0.527,0,0
"Pxdc1",0,1.92351971783964,0.51,0.057,0
"Zcchc10",0,1.91967370728396,0.517,0.104,0
"Rps27",0,1.89506632076156,1,0.96,0
"Rpl31",0,1.88039051300619,0.987,0.875,0
"Gimap3",0,1.87071599741389,0.454,0.012,0
"Lat",0,1.85789914336085,0.507,0.01,0
"Tnfsf11",0,1.85782236632005,0.403,0.001,0
"Gm11808",0,1.84619516081868,0.699,0.399,0
"Rps18",0,1.84553721472285,0.999,0.914,0
"Sptssa",0,1.84389215485677,0.73,0.501,0
"Rnf128",0,1.8337436341819,0.464,0.054,0
"Hilpda",0,1.82949416469712,0.498,0.312,0
"Rpl36a",0,1.82350391925422,0.989,0.883,0
"Selt",0,1.81575675000973,0.467,0,0
"Myeov2",0,1.81169229241116,0.488,0,0
"Rps6",0,1.80179276554525,0.999,0.938,0
"Rps18-ps3",0,1.79834876708818,0.479,0,0
"Gm10036",0,1.78972488509532,0.477,0,0
"2410015M20Rik",0,1.78923498050473,0.481,0,0
"Fkbp3",0,1.76834771295388,0.654,0.351,0
"2310036O22Rik",0,1.75432160908993,0.47,0,0
"Id2",0,1.753337845418,0.838,0.622,0
"2700060E02Rik",0,1.75055742185217,0.474,0,0
"Cd69",0,1.74884859181042,0.422,0.134,0
"Hcst",0,1.7484721170927,0.705,0.411,0
"Klrg1",0,1.73790918373189,0.417,0.002,0
"Inpp4b",0,1.6968983281564,0.461,0.058,0
"Ramp1",0,1.68581191132731,0.747,0.455,0
"4930523C07Rik",0,1.66315250902031,0.675,0.367,0
"Lmo4",0,1.66045972576643,0.692,0.595,0
"Pdcd4",0,1.6473670796697,0.547,0.245,0
"Nrip1",0,1.63990065762141,0.628,0.472,0
"Itk",0,1.62674009027598,0.4,0.007,0
"Pla2g16",0,1.601689583853,0.478,0.08,0
"Rpl27-ps3",0,1.59880277498413,0.413,0,0
"Tspan13",0,1.58888799618131,0.701,0.388,0
"Icos",0,1.58321267169087,0.294,0.007,0
"Sept11",0,1.57979515202994,0.454,0.1,0
"Bcl11b",0,1.56676459096167,0.391,0.002,0
"Eef1g",0,1.54731569650333,0.915,0.815,0
"Ubb",0,1.54219460195155,0.999,0.926,0
"Camk2n1",0,1.5376552973845,0.393,0.023,0
"Rpl18a",0,1.53251180804872,1,0.968,0
"Rps17",0,1.52145772504592,0.991,0.917,0
"Nhp2l1",0,1.5205107033754,0.4,0,0
"Gm6133",0,1.51900785807365,0.417,0.054,0
"Rps15",0,1.51436725351504,0.998,0.949,0
"Rpl3",0,1.50962446597796,0.996,0.918,0
"Il2rg",0,1.49918953585583,0.704,0.505,0
"Furin",8.02345055487999e-225,1.49069115450079,0.509,0.55,1.4539294750498e-220
"Hn1",0,1.48869518397072,0.385,0,0
"Rps19",0,1.47162996074314,0.999,0.948,0
"Uba52",0,1.46224858203521,0.766,0.634,0
"Rps14",0,1.4529847336701,1,0.979,0
"Churc1",0,1.44477853086631,0.562,0.389,0
"Itgb7",0,1.4442933753554,0.657,0.383,0
"Whsc1l1",0,1.44141850196321,0.36,0,0
"Ptpn13",0,1.43850302842294,0.333,0.002,0
"Rpl21",0,1.43018917976818,0.998,0.945,0
"Gimap6",0,1.42746809260736,0.346,0.024,0
"Rpl10-ps3",0,1.42447043313746,0.557,0.378,0
"Rps5",0,1.40702446736602,0.999,0.946,0
"Apobec3",0,1.40584313999276,0.632,0.448,0
"Lztfl1",0,1.398706209408,0.403,0.247,0
"PISD",0,1.39509899625228,0.328,0,0
"Ldha",0,1.39212812850123,0.848,0.78,0
"Slc6a13",0,1.39021253562686,0.34,0.01,0
"Rpl35",0,1.38292535974133,0.99,0.897,0
"Gm10076",0,1.37513331801735,0.516,0.308,0
"Rpl13",0,1.3675130037811,1,0.968,0
"Prdx6",0,1.36735044219687,0.724,0.663,0
"Erh",0,1.36715878966311,0.499,0.275,0
"Klk8",0,1.36518916908013,0.349,0.024,0
"Faah",0,1.36052059963466,0.332,0.003,0
"Tceb1",0,1.35701989562268,0.346,0,0
"St6galnac3",0,1.35584957662237,0.341,0.006,0
"Rbm39",0,1.35556658943,0.957,0.916,0
"Ikzf3",0,1.35098246427959,0.307,0.03,0
"Rps7",0,1.34958395636973,0.998,0.952,0
"Xlr4a",0,1.34929528441626,0.345,0.014,0
"Gpr171",0,1.3489261824741,0.382,0.11,0
"Rcsd1",0,1.34729914811674,0.431,0.167,0
"Sept7",0,1.33925115392223,0.495,0.199,0
"Cirbp",0,1.33643438312584,0.511,0.297,0
"Uhrf2",0,1.33610173738611,0.516,0.405,0
"Il2ra",0,1.33542736351829,0.329,0.012,0
"Tnik",0,1.33517247202856,0.334,0.008,0
"Gimap5",0,1.33404574019984,0.308,0.008,0
"S100a10",0,1.33238656182125,0.938,0.715,0
"Prnp",0,1.32346301378655,0.31,0.03,0
"Fam103a1",0,1.32148677077495,0.336,0,0
"Ccnd2",0,1.3141006425141,0.66,0.332,0
"Ptpn22",0,1.3084076040233,0.41,0.208,0
"Gabarapl2",0,1.30768538845109,0.664,0.566,0
"Stra13",0,1.30419378346563,0.327,0,0
"Malat1",0,1.29572494242587,1,0.713,0
"Rplp2",0,1.28856819546525,0.998,0.97,0
"Zfp36l1",0,1.28382050099771,0.797,0.636,0
"Fam173a",0,1.28360028373484,0.34,0.044,0
"Rps23",0,1.28338774181881,0.999,0.969,0
"Rpl36",0,1.28294790867465,0.996,0.926,0
"Rpl17",0,1.28231860787242,0.999,0.968,0
"Cish",0,1.28108425672165,0.416,0.188,0
"Eef2",0,1.27470068853611,0.966,0.901,0
"Bhlhe40",0,1.2685392875798,0.577,0.417,0
"Mns1",0,1.26597294676663,0.294,0.008,0
"Stab2",0,1.26262838630833,0.25,0.001,0
"Rpl32",0,1.25883926890043,0.999,0.952,0
"Gm26917",0,1.25525402397784,0.291,0,0
"H2afv",0,1.25009660868588,0.396,0.134,0
"Grap",0,1.24048095906058,0.314,0.032,0
"Itm2c",0,1.23796835382607,0.708,0.657,0
"Dad1",0,1.23658103333738,0.782,0.768,0
"Cd81",0,1.23057955377628,0.686,0.315,0
"Rps3",0,1.22613838981474,0.998,0.947,0
"Rpl41",0,1.21846159390227,1,0.979,0
"Ppia",0,1.21307410742492,0.998,0.941,0
"1700020I14Rik",0,1.19721769108732,0.286,0,0
"Cd37",0,1.19273324267803,0.521,0.365,0
"Rps2",0,1.19134959916609,0.997,0.931,0
"Spint2",0,1.19084734495678,0.309,0.028,0
"Tnfrsf25",0,1.18656317191432,0.289,0.001,0
"Rpl8",0,1.1843900622501,0.999,0.96,0
"Rps15a",0,1.18384496662634,0.998,0.951,0
"Zcchc11",0,1.18066798192998,0.283,0,0
"mt-Nd1",0,1.17123030484219,0.994,0.926,0
"Sumo2",0,1.16858306781152,0.844,0.8,0
"Rpl37a",0,1.16603737999896,0.999,0.978,0
"2810428I15Rik",0,1.1536105408486,0.282,0,0
"Cers4",0,1.14660667027894,0.279,0.024,0
"Znrf1",0,1.14388785748859,0.422,0.283,0
"Hlf",0,1.14225185010919,0.264,0.001,0
"Tbc1d10c",0,1.13788908455843,0.3,0.034,0
"Eef1d",0,1.13705546644918,0.758,0.728,0
"Tsc22d3",1.35089060013758e-160,1.13588677703149,0.486,0.491,2.44794885650931e-156
"Nfkbia",7.011895178791e-269,1.13454843135188,0.815,0.799,1.27062552534872e-264
"Rpl36al",0,1.12717796396252,0.847,0.771,0
"2700094K13Rik",0,1.126023704986,0.272,0,0
"Rpl6",0,1.12320617438716,0.997,0.943,0
"Rapgef6",0,1.11590389049614,0.454,0.327,0
"Hmgb1",0,1.11303871129845,0.846,0.82,0
"Rpl9",0,1.10829719681096,0.998,0.957,0
"Rps4x",0,1.10827040738049,0.999,0.943,0
"Pole4",0,1.10604568485012,0.453,0.357,0
"Rabac1",0,1.10154502637774,0.744,0.74,0
"Rac2",0,1.09937802221112,0.84,0.781,0
"1810043H04Rik",0,1.09828201682587,0.267,0,0
"Acot7",0,1.0830719683987,0.345,0.157,0
"Ppp1r15a",7.96699263824397e-199,1.08248352067577,0.513,0.508,1.44369873597619e-194
"Podnl1",0,1.0772607570494,0.251,0.001,0
"Rps11",0,1.06905247206959,0.999,0.959,0
"Park7",0,1.06343535028928,0.649,0.633,0
"Fam105a",0,1.05277489152871,0.251,0,0
"Atp5f1",0,1.05265107139874,0.572,0.26,0
"Lgals1",2.70553548337863e-102,1.05161389854718,0.704,0.759,4.90270084943042e-98
"Sec11c",5.54956963989209e-317,1.04698984956941,0.674,0.663,1.00563751444485e-312
"Srp54b",0,1.03872645458133,0.25,0.003,0
"Rpl29",0,1.0348758209928,0.978,0.899,0
"Xlr4b",0,1.03345823190191,0.26,0.035,0
"Rpl11",0,1.0296399430295,0.998,0.958,0
"Ahcyl2",2.85796898713087e-284,1.02865633256898,0.379,0.284,5.17892560157984e-280
"Limd2",0,1.02721087289825,0.653,0.571,0
"Rpl10",0,1.01692188684056,0.997,0.926,0
"Pebp1",9.24038966081204e-287,1.01265333746485,0.543,0.521,1.67445101043575e-282
"Chd3",1.71347424858829e-310,1.00935504663575,0.342,0.207,3.10498668586683e-306
"Ptgir",0,1.00887719163202,0.252,0.045,0
"Cnbp",0,1.00463527210636,0.783,0.8,0
"Aes",0,1.00359917756698,0.462,0.243,0
"Tmem64",0,1.00251824711826,0.283,0.098,0
"Slc25a4",7.35485109847204e-273,1.00177579222889,0.46,0.391,1.33277256755412e-268
"Saraf",1.34350084324116e-253,0.992795821092544,0.525,0.512,2.43455787803731e-249
"Gnas",0,0.976969279630783,0.899,0.875,0
"Gm2000",6.70552653766442e-230,0.976450902218213,0.456,0.453,1.21510846389017e-225
"Txnip",6.0227322021968e-165,0.975876188193894,0.407,0.351,1.09137930236008e-160
"Rinl",1.03817850883997e-299,0.975017627333725,0.324,0.199,1.88128327586892e-295
"Snrpf",7.13254855521008e-256,0.972263859613375,0.646,0.67,1.29248912368962e-251
"Fam102a",0,0.969843927254773,0.251,0.06,0
"Samsn1",0,0.969786066305161,0.676,0.584,0
"Rplp0",0,0.969555329576039,0.998,0.948,0
"Eif3h",1.03753785626662e-322,0.954641220636868,0.795,0.792,1.88012234934074e-318
"Rnaseh2c",6.80965996859769e-206,0.952544845450075,0.485,0.493,1.23397848290959e-201
"Rasal3",0,0.950358763240432,0.258,0.085,0
"Eif5a",0,0.943542966308957,0.87,0.865,0
"Arhgef6",5.01906248629346e-72,0.942376030785268,0.278,0.35,9.09504313141238e-68
"Nfkb1",1.60703100393293e-159,0.940544292746105,0.652,0.73,2.91210088222686e-155
"H2afj",0,0.937563586800918,0.498,0.24,0
"Anp32a",9.56079425428867e-292,0.936367390183565,0.744,0.762,1.73251152681965e-287
"Srpk1",1.1798794394979e-243,0.93383150064527,0.335,0.256,2.13805953231415e-239
"Serpinb1a",8.7138094304794e-232,0.932062206340024,0.26,0.116,1.57902940689717e-227
"Ccdc107",1.16586134828777e-264,0.929416275845668,0.307,0.208,2.11265734923227e-260
"Ogt",1.27776332281754e-244,0.927276220040632,0.537,0.504,2.31543491727766e-240
