"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cstb",1.21558673425565e-182,1.3825054992286,0.986,0.902,2.03525686916423e-178
"Txn1",4.88256521290631e-175,1.313381324622,0.981,0.883,8.17487893596904e-171
"Tmem176b",9.69713489886961e-157,-1.93380448240619,0.356,0.834,1.62359129611774e-152
"Pkm",3.08501556370909e-155,1.18735149676516,0.956,0.853,5.16524155831813e-151
"Cst3",9.32330161769415e-149,-1.22124005131937,0.986,0.998,1.56100038985053e-144
"Lgals3",2.4964982453378e-141,1.72389408816673,0.983,0.877,4.17988701216907e-137
"Selenop",1.91249165082335e-138,-1.77673435513747,0.738,0.953,3.20208477097354e-134
"Tmem176a",1.05244329826372e-133,-1.79191504732523,0.321,0.781,1.76210581428294e-129
"Rgs10",1.41175359001694e-131,-1.06404315695976,0.694,0.927,2.36369903576537e-127
"Acod1",1.4681018427678e-126,1.40636292724081,0.584,0.14,2.45804291534613e-122
"Msr1",1.48369930246747e-124,1.34141607945877,0.831,0.506,2.48415774212128e-120
"Rps4x",1.01524656377497e-121,-0.735873543157639,0.975,0.994,1.69982732172843e-117
"Rpl21",5.85538102337102e-121,-0.799219927589301,0.945,0.985,9.8036644474301e-117
"S100a6",1.04331192809442e-118,1.81832732079778,0.909,0.668,1.74681716120849e-114
"Rpl18a",2.08868058960932e-114,-0.690275358611801,0.976,0.997,3.49707791118288e-110
"Psme2",8.93219141266957e-109,0.95656564474279,0.919,0.804,1.49551680822327e-104
"Pgk1",9.77753132700538e-109,1.12921091808192,0.856,0.565,1.63705207008051e-104
"Clec4d",1.13900829651892e-105,1.22075934722424,0.638,0.239,1.90704159086163e-101
"Rps11",4.10598349540999e-105,-0.664470608453823,0.974,0.995,6.87464816636494e-101
"Trf",4.43277744844825e-104,-1.50619194552574,0.342,0.729,7.4217992819369e-100
"Spp1",1.84762722811898e-103,3.68483433017843,0.703,0.349,3.09348226803961e-99
"Fau",4.60508817363756e-103,-0.592675175796753,0.994,1,7.71029912912136e-99
"Pdpn",1.15684430252694e-102,1.45281553461546,0.434,0.078,1.93690441572086e-98
"Nampt",3.19953545064398e-101,1.03446179642977,0.9,0.676,5.35698220501322e-97
"Cd81",1.04108788818279e-100,-1.89446073107074,0.181,0.603,1.74309345118444e-96
"Zbp1",1.77397792261721e-100,1.08490336937627,0.793,0.482,2.970171235838e-96
"C1qb",2.57790750855024e-100,-0.884592406758038,0.92,0.988,4.31619054156567e-96
"Pgam1",4.59971968606454e-100,0.948175033724057,0.883,0.688,7.70131067037785e-96
"Rpl32",2.56677186587899e-98,-0.667377128765811,0.977,0.992,4.29754613504119e-94
"Tspo",3.76637978494775e-98,0.848437418863812,0.961,0.92,6.30604967393802e-94
"Rpl39",1.16184871696888e-97,-0.589175964487431,0.976,0.995,1.94528330682099e-93
"Rps5",5.22290075575428e-97,-0.650663497207205,0.966,0.991,8.74470273535939e-93
"Cd74",4.43740250620581e-96,-1.31706117914552,0.991,0.992,7.42954301614039e-92
"Isg15",1.38260859644097e-95,1.59487018632143,0.801,0.5,2.31490157302111e-91
"H2-Eb1",4.93065488768952e-95,-1.52028905048264,0.911,0.961,8.25539547845857e-91
"AA467197",6.83380775817093e-95,1.81699815494885,0.659,0.282,1.14418443295056e-90
"Adam8",1.46152765972375e-94,1.15874544056907,0.661,0.289,2.44703576067548e-90
"Capg",2.46009813440692e-94,1.05137557882864,0.885,0.688,4.1189423064375e-90
"Serinc3",8.05905961547229e-94,-0.914930451788964,0.909,0.984,1.34932835141853e-89
"Il1rn",2.29827433711059e-93,1.30992612508785,0.864,0.557,3.84800072262425e-89
"Rps29",3.75288629827776e-93,-0.444439634529342,0.995,0.999,6.28345752920645e-89
"Itm2b",8.04885082746543e-93,-0.713572103305951,0.992,1,1.34761909404254e-88
"Rps27",1.14412078587335e-91,-0.654892630473906,0.962,0.984,1.91560143178776e-87
"Tapbp",3.66458706544715e-91,0.772776215276267,0.96,0.887,6.13561812367817e-87
"Rps24",1.06763147745314e-89,-0.479909014932852,0.997,0.999,1.7875353826998e-85
"Sod2",8.49453902958963e-89,1.14030901167383,0.825,0.605,1.42224066972419e-84
"Ly6c2",1.10584768392207e-88,1.78724294524464,0.695,0.343,1.85152077719072e-84
"Arg1",1.20795572849477e-88,2.55712840446161,0.456,0.118,2.02248027621879e-84
"Anxa4",5.29929373058143e-88,0.939575700676026,0.815,0.542,8.87260749311248e-84
"Rps18",7.650036281001e-88,-0.72833270877984,0.923,0.975,1.280845574528e-83
"H2-Aa",6.90087593187654e-87,-1.13593223765613,0.925,0.965,1.15541365727409e-82
"Rpl10",9.12846590810982e-87,-0.699906848079751,0.926,0.974,1.52837904699483e-82
"Mif",5.48120543299041e-86,1.01452022761179,0.878,0.7,9.17718225645584e-82
"Rplp1",6.2416234540808e-86,-0.434894387223158,0.997,0.999,1.04503501491675e-81
"Ifi205",3.19815794520679e-85,0.880061889204257,0.465,0.119,5.35467584765972e-81
"Rpl36",4.06844182636637e-85,-0.580515986267599,0.951,0.979,6.81179214988521e-81
"Cx3cr1",1.11837488382405e-84,-1.08499657029623,0.317,0.71,1.87249506798662e-80
"Anxa2",2.44294994438974e-84,1.38470852581764,0.835,0.618,4.09023109189174e-80
"Rps14",5.70924146281663e-84,-0.464752559891343,0.993,0.999,9.55898298119388e-80
"F10",6.06752286933175e-84,1.09107272849804,0.315,0.035,1.01588535401221e-79
"Rpl13",7.63284795979297e-84,-0.550785711045374,0.991,0.998,1.27796773390814e-79
"Apoe",1.02864476475402e-83,-1.32321051227105,0.99,0.989,1.72225992962765e-79
"Hif1a",2.25264439997292e-83,0.972682622157572,0.87,0.614,3.77160251887465e-79
"Rpl26",3.89987323491435e-83,-0.533544220734791,0.974,0.993,6.5295577572171e-79
"Ly6a",4.45397154269383e-83,1.15441841272841,0.901,0.66,7.45728455393227e-79
"Rpl10a",7.17365153831816e-83,-0.648537496455711,0.948,0.985,1.20108447706061e-78
"Rpl27a",1.63500508032774e-82,-0.49724465270751,0.993,0.997,2.73748900599273e-78
"Cox7a2l",4.49748665317505e-82,-0.750640039275895,0.7,0.905,7.53014190341099e-78
"Ighm",5.26412628126237e-82,-0.870788750345328,0.156,0.554,8.81372663271759e-78
"B2m",1.05434239773365e-81,0.518333313676081,1,1,1.76528547652546e-77
"Calm1",1.84456336813075e-80,0.589363699646419,0.998,0.99,3.08835244726131e-76
"Rpl9",6.30711110318176e-79,-0.564339925846663,0.945,0.99,1.05599961200572e-74
"Pnp",1.0376257232331e-78,0.847768879541015,0.893,0.748,1.73729674840918e-74
"Fcgrt",1.29328133413731e-78,-0.921469605889792,0.19,0.569,2.1653409377461e-74
"Fn1",1.65899077728577e-78,2.250872058776,0.531,0.2,2.77764825840956e-74
"Rpl12",6.31578409196586e-78,-0.574044456111964,0.949,0.988,1.05745173051784e-73
"H2-Ab1",7.68575593596574e-77,-1.11113925820391,0.945,0.977,1.28682611635874e-72
"Samhd1",7.33052039942715e-76,0.783830352116886,0.949,0.86,1.22734903047609e-71
"Rpl23",1.64327267183766e-74,-0.461718369053108,0.991,0.998,2.7513314344578e-70
"C1qc",1.82518548665894e-74,-0.720411473996406,0.894,0.981,3.05590806031306e-70
"Aldoa",2.67112008377884e-74,0.834417157544959,0.911,0.831,4.47225635627091e-70
"Rpl17",4.91152261601975e-73,-0.492658188622533,0.982,0.991,8.22336231600187e-69
"Rpl28",2.89122177867286e-72,-0.543282800869402,0.975,0.99,4.84077262403196e-68
"Rsad2",5.37247831121296e-72,1.37187746590175,0.544,0.211,8.99514043646385e-68
"Ctsz",1.43615212445704e-71,0.526210676891467,0.994,0.991,2.40454950197843e-67
"Tmsb10",2.26555288384796e-71,0.919208639540853,0.946,0.857,3.79321519342664e-67
