"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.7515401202596e-311,2.06065831258389,0.978,0.675,2.93260362335064e-307,"0","H2-Eb1"
"2",0,1.98496205154634,0.988,0.521,0,"0","C1qb"
"3",6.12538353641342e-285,1.80496035846009,0.996,0.919,1.0255729655017e-280,"0","Cd74"
"4",5.37402123702817e-288,1.79416370184001,0.901,0.306,8.99772375715627e-284,"0","Cd72"
"5",1.99073461381148e-309,1.78480287267289,0.981,0.528,3.33308696390456e-305,"0","C1qa"
"6",2.16588461459821e-277,1.77575599023175,0.991,0.741,3.62634061022179e-273,"0","H2-Ab1"
"7",1.58101006669199e-322,1.77013627893121,0.978,0.443,2.6470851546624e-318,"0","C1qc"
"8",1.88645407122002e-274,1.76865535586186,0.985,0.724,3.15849005144368e-270,"0","H2-Aa"
"9",2.47664501580517e-266,1.70393069656505,0.954,0.394,4.1466467499626e-262,"0","Ms4a7"
"10",1.05691886805394e-244,1.5461780475832,0.642,0.248,1.76959926078271e-240,"0","Cd81"
"11",3.71393356046862e-132,1.50398551174461,0.842,0.435,6.21823896029261e-128,"0","Rgs1"
"12",8.3203339556902e-261,1.45780670113566,0.866,0.392,1.39307351420121e-256,"0","Tmem176b"
"13",4.08453403093749e-219,1.4322608564007,0.802,0.341,6.83873532799863e-215,"0","Tmem176a"
"14",9.99485955498013e-127,1.38141976843888,0.984,0.918,1.67343933529032e-122,"0","Apoe"
"15",2.61367443103664e-249,1.33699883646768,0.885,0.37,4.37607509988464e-245,"0","Slamf9"
"16",7.21611471618916e-85,1.30282407742762,0.745,0.531,1.20819408693155e-80,"0","Jun"
"17",1.88066218182615e-216,1.22039520672567,0.989,0.701,3.14879269103152e-212,"0","Hexb"
"18",1.10365908652329e-255,1.15315560600352,0.941,0.57,1.84785640856595e-251,"0","Rgs10"
"19",6.1227918532757e-197,1.11120718276321,0.971,0.46,1.02513903999395e-192,"0","Cxcl16"
"20",5.34047076890443e-87,1.10350493539929,0.99,0.907,8.94155020837668e-83,"0","Fos"
"21",9.80704330757327e-98,2.83584432540063,0.703,0.335,1.64199326098699e-93,"1","Spp1"
"22",3.14772668553092e-111,2.49931536011326,0.456,0.066,5.27023878958442e-107,"1","Arg1"
"23",4.20260056341276e-116,2.32170586024714,0.699,0.25,7.03641412332198e-112,"1","Ccl7"
"24",3.305938121601e-32,1.92667909839865,0.56,0.219,5.53513219699655e-28,"1","Cxcl9"
"25",1.34257920818046e-104,1.70828840954681,0.778,0.409,2.24788036825654e-100,"1","Ccl2"
"26",1.60308455221336e-144,1.67964340995874,0.991,0.787,2.68404446577083e-140,"1","Lgmn"
"27",5.66393900248553e-95,1.66835189493912,0.901,0.469,9.48313307186152e-91,"1","Ly6a"
"28",1.17326023205692e-18,1.65420535171195,0.542,0.26,1.9643896065329e-14,"1","Ccl8"
"29",7.48774182832559e-217,1.62057345923882,0.986,0.778,1.25367261431655e-212,"1","Cstb"
"30",4.00859118609306e-10,1.60531219521366,0.272,0.111,6.71158422287562e-06,"1","Saa3"
"31",1.06669568116592e-63,1.59221024953879,0.656,0.242,1.78596857897611e-59,"1","Ccl12"
"32",5.05224437418225e-48,1.59039473170106,0.696,0.464,8.45897275569334e-44,"1","Fabp5"
"33",4.24955552369328e-94,1.57889296728509,0.919,0.619,7.11503081331966e-90,"1","Ctsl"
"34",4.03617887558176e-49,1.56527427450812,0.762,0.37,6.75777429138655e-45,"1","Gatm"
"35",4.64293319941195e-59,1.55893719216973,0.659,0.229,7.77366305577543e-55,"1","AA467197"
"36",3.21682475240908e-151,1.48516240036457,1,0.946,5.38592968295853e-147,"1","Ctsb"
"37",4.40381165610619e-17,1.43099710376267,0.609,0.303,7.37330185581859e-13,"1","Ccl5"
"38",5.24020956971295e-116,1.39415756366352,0.434,0.069,8.77368288257039e-112,"1","Pdpn"
"39",2.46404003084582e-20,1.36884432257515,0.856,0.493,4.12554222364516e-16,"1","AW112010"
"40",4.40916442296146e-125,1.35918111318666,0.831,0.394,7.38226399336437e-121,"1","Msr1"
"41",0,2.7461430574853,0.953,0.095,0,"2","Ace"
"42",0,2.66264278835101,0.844,0.061,0,"2","Eno3"
"43",0,2.52573084435706,0.936,0.131,0,"2","Adgre4"
"44",0,2.3914008024911,0.983,0.561,0,"2","Itgal"
"45",0,2.31791075177184,0.971,0.513,0,"2","Pou2f2"
"46",0,2.27887472217988,0.902,0.21,0,"2","Spn"
"47",0,2.27017203863355,0.996,0.757,0,"2","Gngt2"
"48",0,2.252749994094,0.884,0.105,0,"2","Treml4"
"49",2.92805509517045e-294,2.03099393521044,0.95,0.501,4.90244264584388e-290,"2","Stap1"
"50",1.44179671568406e-282,2.00907021838651,0.615,0.062,2.41400024106982e-278,"2","Cd300e"
"51",4.66189310285964e-307,1.9652984707602,0.82,0.35,7.80540762211789e-303,"2","Dusp16"
"52",3.40147172265619e-276,1.84387477802927,0.835,0.136,5.69508410524326e-272,"2","Pglyrp1"
"53",4.34022297995963e-315,1.83164789742077,0.801,0.126,7.26683533534641e-311,"2","Ceacam1"
"54",1.83003626291533e-289,1.83035558848431,0.895,0.439,3.06402971499914e-285,"2","Myo1g"
"55",4.45963216410461e-280,1.811215199555,0.607,0.026,7.46676213236036e-276,"2","Slc12a2"
"56",7.99347908817312e-305,1.80073622899007,0.91,0.375,1.33834820373283e-300,"2","Stk10"
